arm,starting_ts_mse,selected_ts_mse,final_step,elapsed_seconds,early_stopped,selected_reconstruction_ts_mse,selected_forecast_full_mse
A,0.004448721185326576,0.004116050433367491,69341,12600.160903689044,False,0.004296434111893177,0.09966952353715897
B,0.004448721185326576,0.00415980676189065,59218,12600.781378743995,False,0.00425760867074132,0.0913444235920906
C,0.004448721185326576,0.0038030201103538275,52967,12600.521462163015,False,0.004035201855003834,0.0958128422498703
D,0.004448721185326576,0.003800775855779648,52896,12600.285458051017,False,0.004031952470541,0.09573738276958466
E,0.004448721185326576,0.0037730836775153875,53741,12600.642539627966,False,0.004147179890424013,0.09640932083129883
F,0.004448721185326576,0.003774006851017475,53538,12600.212608405971,False,0.004153807647526264,0.09602651000022888
