region,channel,mse,mean_bias_mse,temporal_amplitude_mse,temporal_pattern_mse,origins
global,uo_0,0.13459401478347505,0.01845178600143437,0.01658429642576742,0.09955793235627328,99
global,uo_1,0.15302129531060948,0.01992318025459681,0.019058779310560613,0.11403933574545205,99
global,uo_2,0.16794621540217305,0.021261047563792244,0.02218895634989088,0.12449621148848994,99
global,uo_3,0.18125186875131524,0.022718969770691246,0.025126017953786647,0.13340688102683737,99
global,uo_4,0.17290423860156207,0.022401098167866812,0.024794811820336264,0.12570832861335898,99
global,uo_5,0.16963271432678673,0.025217430909774734,0.025655228803417925,0.11876005461359405,99
global,uo_6,0.17938204920387732,0.027993786216809372,0.028232476398035885,0.12315578658903203,99
global,uo_7,0.23320439679541027,0.03474705845461172,0.03700170525023955,0.161455633090559,99
global,uo_8,0.25407697266799534,0.03394208215932272,0.04393350428335283,0.17620138622531975,99
global,uo_9,0.25943891418537124,0.032860214853963704,0.0473624437029475,0.17921625562846002,99
global,uo_10,0.2694272303993362,0.034004735963193276,0.05255596975814984,0.18286652467799303,99
global,uo_11,0.2847775001867981,0.034492596734179606,0.057605738275379764,0.1926791651772387,99
global,uo_12,0.31165747015103085,0.04008013684571123,0.06369737572746774,0.2078799575778519,99
global,uo_13,0.3446696036502457,0.051343561040169745,0.06754188039123332,0.22578416221884262,99
global,uo_14,0.38203339499347944,0.06141120722422829,0.07557436602115,0.24504782174810116,99
global,uo_15,0.46607194837996946,0.07389063215510042,0.10584179333495888,0.2863395228899103,99
global,uo_16,0.5529199181391753,0.08616744563381006,0.14750679248244342,0.31924568002292175,99
global,uo_17,0.5351206756542073,0.09922617057020709,0.14126866037185856,0.2946258447121416,99
global,uo_18,0.4258763739830664,0.0708811701474057,0.10353733824345711,0.2514578655922035,99
global,vo_0,0.23260119533907844,0.03360371025609119,0.031165313308807348,0.1678321717741799,99
global,vo_1,0.23650032155429113,0.033238330446262926,0.032168700150243215,0.171093290957785,99
global,vo_2,0.23896040625136233,0.03380649724420782,0.033117838499726236,0.1720360705074283,99
global,vo_3,0.2539253494052252,0.03344303062241206,0.0389044974700481,0.18157782131276506,99
global,vo_4,0.25835680852433457,0.033496860323223326,0.043458033875327734,0.18140191432578345,99
global,vo_5,0.2654344473088896,0.03621976769006523,0.0489789044590221,0.18023577515980227,99
global,vo_6,0.2620203969684401,0.03733650537335861,0.04841746228793134,0.17626642930715017,99
global,vo_7,0.26025992611031346,0.03563309265420078,0.04993035907999407,0.17469647437611863,99
global,vo_8,0.26412286615205577,0.0335685571295999,0.05389840190199088,0.17665590712046494,99
