region,variable,box_width_cells,predicted_anomaly_second_moment,target_anomaly_second_moment,anomaly_cross_moment,anomaly_mse,anomaly_rms_ratio,anomaly_correlation,run
extratropics,so,0,0.003561557487758869,0.0060622746614476,0.001983085512770963,0.005657661093435032,0.7664823786608127,0.42677960587207997,A
extratropics,so,3,0.0007816358263765264,0.0009373131444178054,0.0002817877743366354,0.001155373421336995,0.9131873249631887,0.32921344591726176,A
extratropics,so,9,0.0017996191955585738,0.0025095795711831473,0.000781896070104828,0.0027454066306158106,0.8468174977562324,0.367924100401746,A
extratropics,sst,0,0.0053585917016284,0.0053585917016284,0.0053585917016284,0.0,1.0,1.0,A
extratropics,sst,3,0.0003471269379275,0.0003471269379275,0.0003471269379275,0.0,1.0,1.0,A
extratropics,sst,9,0.001001836462158,0.001001836462158,0.001001836462158,0.0,1.0,1.0,A
extratropics,thetao,0,0.005221706155769045,0.008439573906043206,0.004131975376150895,0.005397329315504306,0.7865855321820899,0.6224310509357387,A
extratropics,thetao,3,0.0012667041501995,0.0014739693815193037,0.0008476701084672857,0.0010453333177467834,0.9270290969218798,0.6203617908856915,A
extratropics,thetao,9,0.002807454725835317,0.0035871181333156665,0.0019639991483941504,0.002466574558459261,0.8846745646175531,0.6188880182200881,A
extratropics,uo,0,0.37969276033329996,0.47577047637965314,0.3237102215734331,0.2080427946949626,0.8933413032779227,0.7616255600210708,A
extratropics,uo,3,0.25864590938138177,0.35889915138847456,0.22043473763883523,0.17667558558526852,0.8489196598445572,0.7235041255508623,A
extratropics,uo,9,0.3641718518996986,0.4573543696153804,0.312498270047275,0.19652968264842907,0.8923326234044154,0.7657165145136721,A
extratropics,vo,0,0.6479774482671027,0.7347522544486924,0.5889784300156188,0.2047728456315178,0.939094899957912,0.853589336005548,A
extratropics,vo,3,0.37614081235149954,0.4512844520607633,0.3421081875048375,0.1432088911810623,0.912956412686363,0.8303535627056103,A
extratropics,vo,9,0.6322276425260233,0.7155817991428588,0.5790930274776929,0.18962338685014976,0.9399550755072295,0.8609579742412165,A
extratropics,zos,0,0.0081600304269655,0.0081600304269655,0.0081600304269655,0.0,1.0,1.0,A
extratropics,zos,3,0.00188648299728,0.00188648299728,0.00188648299728,0.0,1.0,1.0,A
extratropics,zos,9,0.0045925453399317,0.0045925453399317,0.0045925453399317,0.0,1.0,1.0,A
global,so,0,0.0034172266025708628,0.005848825363852453,0.001865505004038867,0.005535041964944579,0.7643681144153213,0.4172777249529695,A
global,so,3,0.0006719366529556632,0.0008034343685033046,0.00020059073888310298,0.0010741895410382896,0.9145110619127917,0.2730055710146864,A
global,so,9,0.0016270627871922422,0.0023167754722177142,0.0006149681847496392,0.0027139018963758684,0.8380311905371983,0.3167440888360434,A
global,sst,0,0.0046924494719603,0.0046924494719603,0.0046924494719603,0.0,1.0,1.0,A
global,sst,3,0.000248875714882,0.000248875714882,0.000248875714882,0.0,1.0,1.0,A
global,sst,9,0.0007781343084214,0.0007781343084214,0.0007781343084214,0.0,1.0,1.0,A
global,thetao,0,0.004807304739758661,0.007122614420689051,0.003567456324348505,0.004795006523101473,0.8215445318339865,0.6096605883096611,A
global,thetao,3,0.001002940873582539,0.001031713265675866,0.0005459793849016035,0.0009426953701855666,0.985957416228393,0.5367339569367453,A
global,thetao,9,0.0022907849319182497,0.002720648763092356,0.0013750350640281816,0.002261363562984239,0.9176053140613815,0.550789148380001,A
global,uo,0,0.36340596763330973,0.46828191182766743,0.29813316237856763,0.23542155600700015,0.8809318983908192,0.7227041823716515,A
global,uo,3,0.18470953317366018,0.2631157381952221,0.15178720476397928,0.14425086335203288,0.8378595850388685,0.6885208479098304,A
global,uo,9,0.3182288838836628,0.4154731379599092,0.25978749947288704,0.21412702291166122,0.875181890923704,0.7144584496928951,A
global,vo,0,0.5316933115735325,0.6227195203969733,0.45883819052889147,0.2367364506473381,0.9240263558151796,0.7974119137374308,A
global,vo,3,0.2667386379253351,0.33125217580560795,0.2352236784610388,0.1275434578050488,0.8973535696970562,0.791331953953257,A
global,vo,9,0.5046621376469311,0.5910971056331288,0.4416060054923296,0.21254723433133835,0.9239978167982048,0.808546856442322,A
global,zos,0,0.0068097473357361,0.0068097473357361,0.0068097473357361,0.0,1.0,1.0,A
global,zos,3,0.001248119915177,0.001248119915177,0.001248119915177,0.0,1.0,1.0,A
global,zos,9,0.0032416057603603,0.0032416057603603,0.0032416057603603,0.0,1.0,1.0,A
