step,selection_split,selection_field_mse,selection_current_field_mse,selection_ts_mse,elapsed
0,validation,0.00303230294957757,0.0030388603858733775,0.003045636885376139,0
100,validation,0.0029711307407441464,0.0029711892234443593,0.0030460145578465677,28.136755936953705
200,validation,0.0030203415927561846,0.003027149794650856,0.003065557197921655,56.81703987298533
300,validation,0.002994930731471289,0.0029875044729331976,0.0030516734219748864,84.83487956400495
400,validation,0.0029428961940787053,0.0029429131517506426,0.003052141284570098,112.7106518719811
500,validation,0.0030050778719173236,0.0030038116422395926,0.0030562936497682876,141.53689635300543
600,validation,0.002998121146282012,0.003002056706447566,0.00304351351223886,169.57341079699108
700,validation,0.003005828708410263,0.0030103215505127225,0.00306833736513826,197.51036114798626
800,validation,0.002975031924010678,0.0029816965515385794,0.0030749285678294573,225.40562844200758
900,validation,0.0029550033240494404,0.002959778870637468,0.003079422940076752,253.65413992397953
1000,validation,0.003019435034895485,0.0030232342815648223,0.0030444942372427745,281.6136455439846
