arm,label,method,composite,spectral_error_dex,sst_rmse/day5,velocity_rmse/day5,eke_rmse/day5,sst_variance_map_rmse/day5,sst_rmse/day15,velocity_rmse/day15,eke_rmse/day15,sst_variance_map_rmse/day15,sst_rmse/day30,velocity_rmse/day30,eke_rmse/day30,sst_variance_map_rmse/day30,sst_rmse,velocity_rmse,eke_rmse,ohc_0_700_rmse,ohc_700_2000_rmse
obs0,D → observations,selected,0.5860501408372285,0.3052105846055929,0.4062738897785172,0.13718881770594762,0.02177148006361885,0.4997542058300177,0.5085136006708336,0.13147331333084114,0.024677171505485995,0.621560467241191,0.5751175506503965,0.13506260109339757,0.026384150686168454,0.7575253411418964,0.4966350136999158,0.1345749107100621,0.024277600751757764,666193829.7040939,404968115.04749197
obs0,D → observations,selected-inferred-persistence,0.6137045703000688,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,701060921.9100156,410121213.3829973
obs0,D → observations,selected-inferred-anomaly-persistence,0.6307664377716782,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,728995240.3575867,458200621.4480968
obs0,D → observations,source-with-zero-forcing,2.5799676253295933,0.42291221071534224,0.5687037413949092,0.1424767226057864,0.02344086563059952,1.017764869854446,0.9897035212963637,0.14542810997236463,0.027179731923770344,1.8399621002373632,1.5143974505200009,0.15463107349710054,0.028923904107928444,2.7809521089067974,1.0242682377370913,0.1475119686917505,0.026514833887432768,6335750889.239528,4312723584.168614
obs0,D → observations,source-inferred-persistence,2.4585622974713246,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6350720123.067642,4283474000.162777
obs0,D → observations,inferred-anomaly-persistence,2.4585481695263782,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6348326352.555855,4284629210.2962003
obs0,D → observations,seasonal-climatology,1.3780512850815465,1.6402581261804532,0.9487160727374434,0.20042391938808574,0.031029778121511163,1.144697945573061,0.8456264659447679,0.20017246937158076,0.031028839217341862,1.15419287476738,0.9173717495967937,0.2000667019186821,0.03073433926687305,1.114814998744051,0.9039047627596682,0.20022103022611618,0.030930985535242025,838171742.102,372852154.41622376
obs25,D → 25% OM4 → observations,selected,0.5921275104987744,0.30780574338185723,0.4116303248311469,0.13664375946518129,0.02177466880403927,0.49164288936455497,0.5158562842927161,0.13132557293540653,0.024756739008506827,0.6131675437031031,0.5856587384616707,0.13508065732083807,0.02638193868903874,0.7223419667930114,0.5043817825285113,0.13434999657380864,0.02430444883386161,680847320.7602708,411683738.4525963
obs25,D → 25% OM4 → observations,selected-inferred-persistence,0.6169482744716273,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,714569333.489717,415129394.52384424
obs25,D → 25% OM4 → observations,selected-inferred-anomaly-persistence,0.6331718454486934,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,739392294.7340783,461723079.08397657
obs25,D → 25% OM4 → observations,source-with-zero-forcing,2.5363666869805623,0.4303593804469981,0.5541300421994534,0.14199706369758303,0.02345939378261879,1.0351056787997068,0.9601174004177743,0.14531795231510874,0.027301104058068407,1.8398888403450246,1.4647290613596766,0.15458908150286682,0.029025220064970356,2.7719207261574046,0.9929921679923014,0.14730136583851952,0.026595239301885853,6129717974.920875,4256678087.0319767
obs25,D → 25% OM4 → observations,source-inferred-persistence,2.427542193396109,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6209005737.905705,4241896736.565523
