region,box_width_cells,channel,predicted_anomaly_second_moment,target_anomaly_second_moment,anomaly_cross_moment,anomaly_mse,origins
global,0,uo_0,0.3664641431485764,0.44721102353298303,0.3506596166678149,0.11235593229231208,99
global,0,uo_1,0.41133109487668434,0.4892850692826088,0.39826708008544615,0.10408200353685051,99
global,0,uo_2,0.44234303452751855,0.5141384291528451,0.43210835047442503,0.09226476137686257,99
global,0,uo_3,0.43109325808708115,0.4994141889943017,0.4207407052468772,0.08902603779176269,99
global,0,uo_4,0.35258530125473486,0.41877185425373037,0.34158180443325425,0.08819355333995338,99
global,0,uo_5,0.28653974048417025,0.35726736470906423,0.2761695613764753,0.09146798055882406,99
global,0,uo_6,0.26914210783110726,0.33777143317039565,0.2538298929881568,0.09925375517570612,99
global,0,uo_7,0.3523691880582559,0.4361954295273983,0.32826621424068103,0.13203218902903374,99
global,0,uo_8,0.38258407603610645,0.4782874265102425,0.3542627397209707,0.152346021448723,99
global,0,uo_9,0.3692435577060237,0.474885123847711,0.34013765960028675,0.16385336325626182,99
global,0,uo_10,0.3476579719119602,0.46598353349801264,0.3171704947346389,0.17930051624172866,99
global,0,uo_11,0.33360578164909827,0.4623004673707365,0.298204192609498,0.199497865004973,99
global,0,uo_12,0.32189337864066614,0.4591639156293387,0.27692406060117664,0.2272091768305711,99
global,0,uo_13,0.3108204970456133,0.4531179103586409,0.2566118562462354,0.2507146962664344,99
global,0,uo_14,0.3276277043000616,0.4730939139621426,0.26522662061633484,0.27026837868521913,99
global,0,uo_15,0.3662306892149376,0.5348082880179087,0.28637238223143296,0.3282942088565441,99
global,0,uo_16,0.39476789850177185,0.591971294446425,0.2972483312842822,0.3922425321858339,99
global,0,uo_17,0.35622009424248124,0.5408051128339286,0.2539782849225131,0.3890686372313837,99
global,0,uo_18,0.2771923207875454,0.4628845456272665,0.21018081211080455,0.3197152349683974,99
global,0,vo_0,0.5586751597096221,0.6371854534654906,0.5205030347963776,0.1548545581072268,99
global,0,vo_1,0.563530953544559,0.6362425067810097,0.5346283945772383,0.13051666868756515,99
global,0,vo_2,0.5861818393071493,0.648544268174605,0.5659926259758497,0.10274085379911191,99
global,0,vo_3,0.6043617559803857,0.6636316661882882,0.5883119750504542,0.09136945498411102,99
global,0,vo_4,0.5890764407437257,0.6494225721166591,0.5747696447252023,0.08895972348523862,99
global,0,vo_5,0.5566862677082871,0.6217725180616283,0.5408626337244054,0.09673350673131269,99
global,0,vo_6,0.537185423903995,0.6010017714115105,0.5172806728367854,0.1036258607049181,99
global,0,vo_7,0.5473010985538213,0.6081744083250412,0.524516202283628,0.10644310020437145,99
global,0,vo_8,0.555910511450334,0.6197710308161649,0.5304499485275962,0.11478165078042733,99
global,0,vo_9,0.5506195636710736,0.6211628179357509,0.5228927255880953,0.12599693637604664,99
global,0,vo_10,0.5343077986529379,0.6176243183588741,0.5043833538739368,0.143165407457737,99
global,0,vo_11,0.5176987247635619,0.6179243880088883,0.4833088547292382,0.16900540542120884,99
global,0,vo_12,0.49470353608179574,0.6115481636740945,0.45150821467842717,0.20323527175368686,99
global,0,vo_13,0.4719214752466992,0.6008604271243317,0.41476726261052216,0.24324738497685905,99
global,0,vo_14,0.46897048420376247,0.6120739320311883,0.3971906298338765,0.28666315536306364,99
global,0,vo_15,0.477277737073224,0.6541493498917782,0.38557806611061096,0.3602709502282769,99
global,0,vo_16,0.4643068623663199,0.6619076939544293,0.35699220648919694,0.4122301400309861,99
global,0,vo_17,0.41432086686895353,0.6014474726686574,0.30756828444774703,0.40063176823384833,99
global,0,vo_18,0.3340163060812035,0.5472261285541034,0.26205988679871417,0.35712265065222076,99
global,0,thetao_0,0.004692449471960315,0.004692449471960315,0.004692449471960315,0.0,99
global,0,thetao_1,0.004585440799763257,0.004617655645077577,0.004418018577394612,0.00036705928270215865,99
global,0,thetao_2,0.004522456239551456,0.004567033011522709,0.00399319657284503,0.0011030960683428655,99
global,0,thetao_3,0.004461279548140186,0.005106154850430109,0.003766121949548974,0.002035190508879646,99
global,0,thetao_4,0.005075592326583585,0.006511206004881497,0.00435547111085569,0.0028758561920675667,99
global,0,thetao_5,0.006467187208020025,0.008594779946813078,0.005771986206504281,0.0035179947488800144,99
global,0,thetao_6,0.006423482431493925,0.009852218935548357,0.005859032421457497,0.004557636420647002,99
global,0,thetao_7,0.006232541421371879,0.010582081841850522,0.0057323682874516405,0.005349886655393574,99
global,0,thetao_8,0.007205488701172248,0.012330281416499856,0.00686309165838692,0.0058095868008982655,99
global,0,thetao_9,0.008059773627066552,0.01264511344182973,0.007458131252364678,0.005788624597092469,99
global,0,thetao_10,0.007272753173090292,0.011373987120359835,0.00644946690517092,0.005747806356109754,99
global,0,thetao_11,0.005230829119682312,0.010857388433633429,0.004191751831747366,0.007704713861599113,99
global,0,thetao_12,0.002990492440835394,0.00874126399632054,0.0022151849028005295,0.007301386657424949,99
global,0,thetao_13,0.0021023200848375007,0.003358381772131631,0.0011467162709015261,0.00316726929047192,99
global,0,thetao_14,0.001858881510079208,0.002070766046991327,0.0009295685867064002,0.0020705103577876634,99
global,0,thetao_15,0.001929810328286781,0.0014909403198727904,0.000826524005558417,0.0017677026370427375,99
global,0,thetao_16,0.002494405291861657,0.0024294304529750587,0.0007490307143230856,0.0034257743126628075,99
global,0,thetao_17,0.002795403350539731,0.005719828687495355,0.002059332416110644,0.004396567283424012,99
global,0,thetao_18,0.002712258196558164,0.007358547648170379,0.0028087969721210275,0.004453211905190138,99
global,0,so_0,0.005925651785513067,0.010010514530644875,0.0033772295432616816,0.009181707288430195,99
global,0,so_1,0.005174780603159557,0.008220969642879385,0.002987680139462228,0.007420389922429817,99
global,0,so_2,0.0046321762739821816,0.007238024323614258,0.0029843698944802387,0.005901460836857858,99
global,0,so_3,0.004057720851510613,0.0063998075343216915,0.0027483154753825127,0.004960897383327135,99
global,0,so_4,0.003716006689243997,0.006201809065209495,0.0025113483907353846,0.004895118954168124,99
global,0,so_5,0.003458766287870028,0.006020669759523989,0.0022126579730103566,0.005054120106076953,99
global,0,so_6,0.0042431170280759385,0.008865191380145273,0.00310450042550913,0.006899307543092003,99
global,0,so_7,0.005138932031137172,0.011169775596095456,0.004209989486638494,0.007888728785657823,99
global,0,so_8,0.00453481220668464,0.009192689622968736,0.0039109686516564,0.00590556457337707,99
global,0,so_9,0.0031241662188837625,0.005987436049664864,0.0025092363051806735,0.00409312971933472,99
global,0,so_10,0.0016432895837822045,0.003247073127163781,0.0010796182840648624,0.0027311261357607867,99
global,0,so_11,0.0012788263189540518,0.004086708428921422,0.0007926992939154834,0.0037801361365262607,99
global,0,so_12,0.0010542753517082093,0.003555877319998061,0.0007829438969069583,0.0030442649096419864,99
global,0,so_13,0.0005822945980007073,0.0008070928901857274,0.00026567349730134763,0.0008580404994633011,99
global,0,so_14,0.0004392379487399012,0.0002785836290003675,9.051570172728547e-05,0.000536790173477258,99
global,0,so_15,0.0006310236122873095,0.00035754559535740153,0.0001362699317402498,0.0007160293365207812,99
global,0,so_16,0.0009708032100179205,0.0008594542477195236,0.0002730640091355937,0.0012841294496085006,99
global,0,so_17,0.0026618094663276816,0.008903453639247503,0.0031033484817887045,0.005358566165516021,99
global,0,so_18,0.0024031653713359677,0.009725005530535874,0.0036659695600827383,0.004796231767595417,99
global,0,zos,0.006809747335736198,0.006809747335736198,0.006809747335736198,0.0,99
global,3,uo_0,0.10589158662942925,0.1357585975919107,0.10194193586857632,0.037766311430569854,99
global,3,uo_1,0.12891254438595337,0.1651368833551503,0.12451264028898393,0.04502414528167609,99
global,3,uo_2,0.15036159768851118,0.19310436766557018,0.14576250630797763,0.05194095424329392,99
