split,mode,channel,normalized_rmse,physical_rmse
validation,climatology_with_observed_surface,thetao_3,0.06252702,0.7022333
validation,climatology_with_observed_surface,thetao_4,0.070725866,0.7557653
validation,climatology_with_observed_surface,thetao_5,0.082680024,0.79309416
validation,climatology_with_observed_surface,thetao_6,0.08868838,0.70198345
validation,climatology_with_observed_surface,thetao_7,0.094446175,0.59014785
validation,climatology_with_observed_surface,thetao_8,0.10706292,0.51603025
validation,climatology_with_observed_surface,thetao_9,0.109472364,0.3998026
validation,climatology_with_observed_surface,thetao_10,0.102243744,0.28248185
validation,climatology_with_observed_surface,thetao_11,0.09684526,0.2131189
validation,climatology_with_observed_surface,thetao_12,0.079730935,0.14611124
validation,climatology_with_observed_surface,thetao_13,0.054604433,0.08427509
validation,climatology_with_observed_surface,thetao_14,0.042280037,0.05744503
validation,climatology_with_observed_surface,thetao_15,0.037373297,0.0438123
validation,climatology_with_observed_surface,thetao_16,0.045498382,0.04150259
validation,climatology_with_observed_surface,thetao_17,0.06682538,0.04536223
validation,climatology_with_observed_surface,thetao_18,0.07539627,0.038098052
validation,climatology_with_observed_surface,so_0,0.094849974,0.26726198
validation,climatology_with_observed_surface,so_1,0.08655065,0.23933293
validation,climatology_with_observed_surface,so_2,0.07724834,0.17830487
validation,climatology_with_observed_surface,so_3,0.069471456,0.14226602
validation,climatology_with_observed_surface,so_4,0.07042253,0.13049583
validation,climatology_with_observed_surface,so_5,0.07293493,0.117197536
validation,climatology_with_observed_surface,so_6,0.0849653,0.10639146
validation,climatology_with_observed_surface,so_7,0.098816544,0.09216213
validation,climatology_with_observed_surface,so_8,0.09459632,0.07514551
validation,climatology_with_observed_surface,so_9,0.07452441,0.05285112
validation,climatology_with_observed_surface,so_10,0.052019887,0.03436174
validation,climatology_with_observed_surface,so_11,0.053620666,0.0332335
validation,climatology_with_observed_surface,so_12,0.047235966,0.026773494
validation,climatology_with_observed_surface,so_13,0.025583273,0.013116994
validation,climatology_with_observed_surface,so_14,0.015465653,0.00650349
validation,climatology_with_observed_surface,so_15,0.017954666,0.004337087
validation,climatology_with_observed_surface,so_16,0.025838245,0.0038960173
validation,climatology_with_observed_surface,so_17,0.08294591,0.005269044
validation,climatology_with_observed_surface,so_18,0.087033026,0.0044113128
validation,climatology_with_observed_surface,zos,0.0,0.0
