2026/09/22 11:35:36.241, 0, 0, 0
2026/09/22 11:35:36.247, 1, 0, 0
2026/09/22 11:35:51.252, 0, 0, 559
2026/09/22 11:35:51.253, 1, 0, 559
2026/09/22 11:36:06.254, 0, 0, 13461
2026/09/22 11:36:06.256, 1, 0, 15817
2026/09/22 11:36:21.257, 0, 0, 17545
2026/09/22 11:36:21.257, 1, 0, 17545
2026/09/22 11:36:36.258, 0, 0, 17545
2026/09/22 11:36:36.258, 1, 0, 18553
2026/09/22 11:36:51.259, 0, 1, 45103
2026/09/22 11:36:51.259, 1, 5, 45103
2026/09/22 11:37:06.260, 0, 5, 45103
2026/09/22 11:37:06.262, 1, 1, 45103
2026/09/22 11:37:21.263, 0, 77, 45103
2026/09/22 11:37:21.263, 1, 0, 45105
