split,precision,index,date,field_mse,current_field_mse,ts_mse,batch_full_mse,climatology_mse,bias,pred_anomaly_m2,true_anomaly_m2,cross_anomaly,pred_anomaly_mean,true_anomaly_mean,bf16_rounding_mse
train,fp32,0,1975-04-03 12:00:00,0.0021430382039397955,0.002149804540392507,0.002083125989884138,0.022672895342111588,0.006240464934355183,0.001231382888217048,0.00528347146407823,0.006240464934355183,0.004687065931210922,-0.0024301991756368285,-0.0036615820514902804,3.928432256467736e-06
train,fp32,186,1977-10-20 12:00:00,0.0017793409060686827,0.0017738858594778947,0.0018640258349478245,0.022672895342111588,0.005636350860523191,0.0013697651385571558,0.005184849139824079,0.005636350860523191,0.004523657070523259,-0.00028308438359494256,-0.0016528495228066394,3.3592736739730895e-06
train,fp32,373,1980-05-12 12:00:00,0.001925602788105607,0.0019304045956489522,0.0018537389114499092,0.021313192322850227,0.005016830162947783,0.0006189457140772771,0.004155590137016415,0.005016830162947783,0.003621007848008059,0.00010828559454108153,-0.000510660114263718,3.212755155711686e-06
train,fp32,560,1982-12-04 12:00:00,0.0018876329995691776,0.0018822696259781328,0.0018059983849525452,0.021313192322850227,0.004284976111658401,0.0013716999762804732,0.0036905734003542857,0.004284976111658401,0.00304663994058845,0.00213208238349552,0.0007603824060782658,4.394993772575939e-06
train,fp32,747,1985-06-27 12:00:00,0.001975465100258589,0.0019846073297354115,0.00184027967043221,0.02163046784698963,0.0038706499579029777,-0.0006003763741032709,0.0034618036472459602,0.0038706499579029777,0.0026739231407132144,-0.0026969374477006187,-0.002096561067279016,3.3257738456517917e-06
train,fp32,934,1988-01-18 12:00:00,0.0019273501820862293,0.00193341743323509,0.0018288717838004231,0.02163046784698963,0.0031024193386221476,0.000523742066993247,0.0028473351954845243,0.0031024193386221476,0.0020081685458640383,0.0003938466407262984,-0.00012989543198122853,3.985726653925582e-06
train,fp32,1121,1990-08-11 12:00:00,0.0018797098891809583,0.001885236220384745,0.0018218954792246222,0.02154366858303547,0.0029545144488261977,0.0009371914842745553,0.002653290910159449,0.0029545144488261977,0.0018612845719199174,0.002093176341818458,0.0011559848517330913,3.067362028847942e-06
train,fp32,1308,1993-03-04 12:00:00,0.0019224891439080238,0.0019252384080454378,0.0018346747383475304,0.02154366858303547,0.002868849708911426,0.0028013392588939453,0.0025296878761960186,0.002868849708911426,0.0017366495889173275,0.0009823369293625447,-0.0018190023365443114,3.915087032311637e-06
train,fp32,1495,1995-09-25 12:00:00,0.0018607908859848976,0.001871182650395506,0.0018313281470909715,0.021435847505927086,0.0029450264051042083,0.002063069758428842,0.002549934176620228,0.0029450264051042083,0.001811888966104878,0.0004988213468698388,-0.0015642484059401238,2.558799577934671e-06
train,fp32,1682,1998-04-18 12:00:00,0.0019578137435019016,0.001964011524861731,0.0019436281872913241,0.021435847505927086,0.003544779717683458,0.003193189424355498,0.0031809996108349515,0.003544779717683458,0.0023808839006483067,0.005066959938183261,0.0018737705142342896,3.808622659271079e-06
train,fp32,1869,2000-11-08 12:00:00,0.0019259450491517782,0.0019328817864125792,0.001799649791792035,0.020934216678142548,0.003399293157488193,0.0017480278830660284,0.0027803311624885856,0.003399293157488193,0.002123371266101579,0.003531981495979386,0.0017839536172705092,3.0822704947819135e-06
train,fp32,2056,2003-06-02 12:00:00,0.0020106115844100714,0.002003508066633754,0.0017798847984522581,0.020934216678142548,0.0035781546394198153,0.0026581694840246382,0.0030564831504001524,0.0035781546394198153,0.0023155648621492908,0.005930219362219066,0.0032720498857495817,4.05087942363266e-06
train,fp32,2243,2005-12-24 12:00:00,0.0018731252057477832,0.001881927269349369,0.0017949624452739954,0.020465563982725143,0.0038542888078478186,0.0036381875520633956,0.0034527402052501846,0.0038542888078478186,0.0027125508722841522,0.0033763497897828887,-0.00026183776823246593,3.2984769960140695e-06
train,fp32,2430,2008-07-16 12:00:00,0.0018786732107400894,0.0018714712459565672,0.00184300122782588,0.020465563982725143,0.004423559944493139,0.004078522459968407,0.00405996114398888,0.004423559944493139,0.0033060249225439296,0.00530834250991641,0.0012298200449573583,3.3954681859254094e-06
train,fp32,2617,2011-02-07 12:00:00,0.001987437717616558,0.0019839526384695947,0.0019424210768193007,0.022727157920598984,0.005132201150663224,0.002631844399031666,0.004609020322935076,0.005132201150663224,0.00387863441765796,0.0030402660750300957,0.00040842167229104847,3.5666941980628253e-06
train,fp32,2804,2013-08-31 12:00:00,0.002056481782346964,0.0020494023845288064,0.0020360893104225397,0.022727157920598984,0.005280537380307952,0.003053439639965699,0.00458646025749102,0.005280537380307952,0.003908797626628697,0.005277972107839135,0.0022245324740931965,2.804535662007292e-06
