step,selection_split,selection_field_mse,selection_current_field_mse,selection_ts_mse,elapsed
0,validation,0.00303230294957757,0.0030388603858733775,0.003045636885376139,0
100,validation,0.0021912864917381244,0.0021975864795337617,0.00469609908759594,27.764712296018843
200,validation,0.0020167163403874092,0.0020236930224594592,0.004958708897571672,56.17276635300368
300,validation,0.00187429268209433,0.0018742095214721608,0.005383317358791828,84.40409433201421
400,validation,0.0018615349386395378,0.0018597901246692266,0.005761175204745748,112.80604466499062
500,validation,0.0017771955304355784,0.0017811348994476789,0.006409930107607083,141.17140206199838
600,validation,0.0017362956423312426,0.001740462812145386,0.006938456642356786,169.73477348301094
700,validation,0.00175089520317587,0.0017574174521941413,0.007419001014733856,198.04187116998946
800,validation,0.0016803338234736161,0.0016829118797579143,0.007972791367633776,225.49448225396918
900,validation,0.001796524326147681,0.0017963373508083995,0.00834313128143549,253.8304052070016
1000,validation,0.0017255203565582633,0.0017273736861085178,0.008810135366564447,281.1944577859831
