split,precision,index,date,field_mse,current_field_mse,ts_mse,batch_full_mse,climatology_mse,bias,pred_anomaly_m2,true_anomaly_m2,cross_anomaly,pred_anomaly_mean,true_anomaly_mean,bf16_rounding_mse
train-selected,bf16,0,1975-04-03 12:00:00,0.0007137458887882531,0.0007073754626141328,0.006791667081415653,0.09592850506305695,0.006240464934355183,0.003114284614531039,0.0055440883614429285,0.006240464934355183,0.005538588912625619,-0.0005472974357060834,-0.0036615820514902804,3.928432256467736e-06
train-selected,bf16,186,1977-10-20 12:00:00,0.0005640840390697122,0.0005623031542843523,0.006551533006131649,0.09592850506305695,0.005636350860523191,0.0009665569629922672,0.00525560931734459,0.005636350860523191,0.0051648285100838395,-0.000686292557359174,-0.0016528495228066394,3.3592736739730895e-06
train-selected,bf16,373,1980-05-12 12:00:00,0.0005553792580030859,0.0005553132602996683,0.006680234335362911,0.09344471991062164,0.005016830162947783,-0.00038885934515069115,0.004506070681931398,0.005016830162947783,0.004483793794494894,-0.0008995194576511256,-0.000510660114263718,3.212755155711686e-06
train-selected,bf16,560,1982-12-04 12:00:00,0.0005790796130895615,0.0005736536421151034,0.006817977875471115,0.09344471991062164,0.004284976111658401,0.0005202465127545425,0.003775963277910936,0.004284976111658401,0.003743642871468842,0.0012806289183027206,0.0007603824060782658,4.394993772575939e-06
train-selected,bf16,747,1985-06-27 12:00:00,0.0006675850600004196,0.0006714259503561915,0.006910874508321285,0.09336002171039581,0.0038706499579029777,0.003453674433955801,0.003333810049930528,0.0038706499579029777,0.00326651702995131,0.0013571133696234257,-0.002096561067279016,3.3257738456517917e-06
train-selected,bf16,934,1988-01-18 12:00:00,0.0005803778185509145,0.0005823618546492562,0.006720460951328278,0.09336002171039581,0.0031024193386221476,0.001291514778686809,0.002622109748920698,0.0031024193386221476,0.0025710836150056775,0.0011616193488618778,-0.00012989543198122853,3.985726653925582e-06
train-selected,bf16,1121,1990-08-11 12:00:00,0.0006304363487288356,0.0006334352039492737,0.006892393343150616,0.09131196141242981,0.0029545144488261977,0.0008938248834252805,0.0024819986576634532,0.0029545144488261977,0.0024015389530308152,0.0020498097370668395,0.0011559848517330913,3.067362028847942e-06
train-selected,bf16,1308,1993-03-04 12:00:00,0.0005843106773681939,0.0005831004261842507,0.006755362264811993,0.09131196141242981,0.002868849708911426,0.002004115490018571,0.002357087213038088,0.002868849708911426,0.0023214182497803128,0.000185113154570752,-0.0018190023365443114,3.915087032311637e-06
train-selected,bf16,1495,1995-09-25 12:00:00,0.0005697772139683366,0.0005706557387103358,0.006875243037939072,0.09204434603452682,0.0029450264051042083,0.001234330376963468,0.002478839824729103,0.0029450264051042083,0.0024266052481341726,-0.00032991803356960137,-0.0015642484059401238,2.558799577934671e-06
train-selected,bf16,1682,1998-04-18 12:00:00,0.0006037300918251276,0.0006091268633660913,0.006960099563002586,0.09204434603452682,0.003544779717683458,-0.0001323741014855001,0.002984822962439089,0.003544779717683458,0.0029602379091795577,0.001741396411686925,0.0018737705142342896,3.808622659271079e-06
train-selected,bf16,1869,2000-11-08 12:00:00,0.0006585458177141845,0.0006637593875236056,0.006980464328080416,0.0915694609284401,0.003399293157488193,0.000747703629338829,0.002734856045650638,0.003399293157488193,0.002735194908055446,0.0025316572481588365,0.0017839536172705092,3.0822704947819135e-06
train-selected,bf16,2056,2003-06-02 12:00:00,0.0005958917317911983,0.0006012139205574639,0.006992369890213013,0.0915694609284401,0.0035781546394198153,0.0023131870025963827,0.0030941683224762553,0.0035781546394198153,0.0030355545188547528,0.005585236886171382,0.0032720498857495817,4.05087942363266e-06
train-selected,bf16,2243,2005-12-24 12:00:00,0.0005649733357131481,0.0005684716252679046,0.006914151832461357,0.09365180134773254,0.0038542888078478186,0.0016679065248734965,0.003392665863290941,0.0038542888078478186,0.0033392415226069167,0.0014060687659384874,-0.00026183776823246593,3.2984769960140695e-06
train-selected,bf16,2430,2008-07-16 12:00:00,0.0005671980325132608,0.0005687462347601636,0.007309535518288612,0.09365180134773254,0.004423559944493139,0.002136912331445101,0.00413253482691053,0.004423559944493139,0.003993674269103931,0.0033667323809519084,0.0012298200449573583,3.3954681859254094e-06
train-selected,bf16,2617,2011-02-07 12:00:00,0.000618593767285347,0.0006204520854453571,0.007229056674987078,0.09980854392051697,0.005132201150663224,0.0018034584503921359,0.004738877327635888,0.005132201150663224,0.004625313194145455,0.0022118801287197465,0.00040842167229104847,3.5666941980628253e-06
train-selected,bf16,2804,2013-08-31 12:00:00,0.0007897355826571584,0.0007939500585386584,0.007567351683974266,0.09980854392051697,0.005280537380307952,0.0015441857427106666,0.0044932035930925675,0.005280537380307952,0.00448989545198971,0.003768718218358321,0.0022245324740931965,2.804535662007292e-06
