region,box_width_cells,channel,predicted_anomaly_second_moment,target_anomaly_second_moment,anomaly_cross_moment,anomaly_mse,origins
global,0,uo_0,0.40733193508302323,0.44721102353298303,0.40561429298285284,0.04331436414610256,99
global,0,uo_1,0.4449754041252714,0.4892850692826088,0.44245082109865513,0.04935883094716554,99
global,0,uo_2,0.46552857696407973,0.5141384291528451,0.46301995232851817,0.053627112974422145,99
global,0,uo_3,0.4433413295432775,0.4994141889943017,0.44018130802144906,0.06239289997352494,99
global,0,uo_4,0.3595154992859773,0.41877185425373037,0.3547763701039131,0.06873461088598376,99
global,0,uo_5,0.2941826423912337,0.35726736470906423,0.28823481424890385,0.0749803776241312,99
global,0,uo_6,0.28072436439870585,0.33777143317039565,0.2693076171357222,0.07988056239455638,99
global,0,uo_7,0.3701307764559081,0.4361954295273983,0.35195257868429625,0.10242105403331796,99
global,0,uo_8,0.402987813106691,0.4782874265102425,0.3812151469967582,0.11884494238730633,99
global,0,uo_9,0.3912210353095122,0.474885123847711,0.3684018145908009,0.12930253238388986,99
global,0,uo_10,0.37213394136139843,0.46598353349801264,0.3467325818057012,0.14465231892436442,99
global,0,uo_11,0.35520568219098175,0.4623004673707365,0.326040316410739,0.1654255229114282,99
global,0,uo_12,0.3405646922612431,0.4591639156293387,0.30328531924522284,0.19315797451770667,99
global,0,uo_13,0.3251655911556398,0.4531179103586409,0.28033042285177445,0.2176226506931613,99
global,0,uo_14,0.3385641963192911,0.4730939139621426,0.285948073171606,0.2397619556597989,99
global,0,uo_15,0.37504632515136643,0.5348082880179087,0.3064345366726018,0.2969855410282058,99
global,0,uo_16,0.4052733809056908,0.591971294446425,0.31865035795202157,0.35994395794290485,99
global,0,uo_17,0.360626997670742,0.5408051128339286,0.27118235269580226,0.3590674011996298,99
global,0,uo_18,0.27462321881091956,0.4628845456272665,0.22082796933675053,0.29585181914194664,99
global,0,vo_0,0.5970038091293489,0.6371854534654906,0.5849549908830662,0.06427927657660812,99
