region,box_width_cells,channel,predicted_anomaly_second_moment,target_anomaly_second_moment,anomaly_cross_moment,anomaly_mse,origins
global,0,uo_0,0.3743077790496325,0.44721102353298303,0.34149166459989067,0.1385354699209483,99
global,0,uo_1,0.41305376995693555,0.4892850692826088,0.3867884194008028,0.12876200239465693,99
global,0,uo_2,0.43854739870687925,0.5141384291528451,0.41930613583988613,0.11407355971709647,99
global,0,uo_3,0.42310363566032566,0.4994141889943017,0.4066716736615306,0.10917448275017017,99
global,0,uo_4,0.3484778825682823,0.41877185425373037,0.32947548757297823,0.10829876220286494,99
global,0,uo_5,0.28876166888559707,0.35726736470906423,0.267605346110132,0.11081834438473287,99
global,0,uo_6,0.2739218216050755,0.33777143317039565,0.24650020054494493,0.11869285361032293,99
global,0,uo_7,0.3601613592619848,0.4361954295273983,0.31861633544016366,0.15912412784316324,99
global,0,uo_8,0.38898790243900183,0.4782874265102425,0.3417183991634484,0.18383853047183066,99
global,0,uo_9,0.3790419137839115,0.474885123847711,0.3280613967264541,0.19780424357664705,99
global,0,uo_10,0.35938229283901174,0.46598353349801264,0.3056420692891786,0.21408169483295594,99
global,0,uo_11,0.34784823324945235,0.4623004673707365,0.2862881894665535,0.23757232394483355,99
global,0,uo_12,0.3348615750519916,0.4591639156293387,0.2631746276159479,0.26767624493199166,99
global,0,uo_13,0.3270813434412985,0.4531179103586409,0.24177971723103764,0.2966398166285621,99
global,0,uo_14,0.3455717894766066,0.4730939139621426,0.24620538092020786,0.32625493527662874,99
global,0,uo_15,0.3871178386187313,0.5348082880179087,0.25894342528449166,0.40403927666972383,99
global,0,uo_16,0.4151960512002309,0.591971294446425,0.26267513768239453,0.48181706456222917,99
global,0,uo_17,0.38423242412432274,0.5408051128339286,0.22559643770107116,0.4738446684798809,99
global,0,uo_18,0.3150567051136132,0.4628845456272665,0.1879900409416719,0.4019611619337641,99
global,0,vo_0,0.5771249794598782,0.6371854534654906,0.5109201567341582,0.19247011012501186,99
global,0,vo_1,0.5762904563335457,0.6362425067810097,0.5262523290484843,0.1600283102856742,99
global,0,vo_2,0.590017680868958,0.648544268174605,0.5577162880488117,0.12312938453573169,99
global,0,vo_3,0.6008691700419995,0.6636316661882882,0.5787820168817887,0.10693679674707278,99
global,0,vo_4,0.5858194376483108,0.6494225721166591,0.5651218493779501,0.10499831356785515,99
global,0,vo_5,0.5605060837485574,0.6217725180616283,0.5325327973173122,0.11721299814455437,99
global,0,vo_6,0.5459532301233272,0.6010017714115105,0.5119483109676477,0.1230583783201497,99
global,0,vo_7,0.5554233100077118,0.6081744083250412,0.5184046448481203,0.12678843164684797,99
global,0,vo_8,0.5629732319802949,0.6197710308161649,0.5227266029276029,0.13729106943414668,99
global,0,vo_9,0.5582093304455883,0.6211628179357509,0.5144082569714749,0.15055562345066456,99
global,0,vo_10,0.543497576255991,0.6176243183588741,0.4942837059497833,0.17255448196271453,99
global,0,vo_11,0.5332856250531746,0.6179243880088883,0.472739691385115,0.20573062547529586,99
global,0,vo_12,0.5113763122847585,0.6115481636740945,0.43836854955162663,0.24618738001645213,99
global,0,vo_13,0.49164758246354384,0.6008604271243317,0.39891517102116286,0.29467767236208675,99
global,0,vo_14,0.4911291773873146,0.6120739320311883,0.37617570462853017,0.35085170136557686,99
global,0,vo_15,0.5032897769200682,0.6541493498917782,0.35692154849418484,0.44359602651210744,99
global,0,vo_16,0.487260574042195,0.6619076939544293,0.3222851539501036,0.5045979585912492,99
global,0,vo_17,0.4384643363230156,0.6014474726686574,0.27614469961686566,0.4876224085538074,99
global,0,vo_18,0.38903504850888493,0.5472261285541034,0.24327814232821415,0.44970489120242574,99
global,0,thetao_0,0.004692449471960315,0.004692449471960315,0.004692449471960315,0.0,99
global,0,thetao_1,0.00449838296914793,0.004617655645077577,0.004242788692183717,0.000630461208397673,99
global,0,thetao_2,0.0044583606256190875,0.004567033011522709,0.003714376627796828,0.0015966404191773346,99
global,0,thetao_3,0.004746920266894229,0.005106154850430109,0.0034293602667560784,0.002994354637904149,99
global,0,thetao_4,0.0053940404469918725,0.006511206004881497,0.003998754705970335,0.0039077371128392645,99
global,0,thetao_5,0.006733343047513204,0.008594779946813078,0.0054439377613516166,0.004440247485733995,99
global,0,thetao_6,0.006520968302143644,0.009852218935548357,0.005402047008351244,0.005569093098694628,99
global,0,thetao_7,0.00614576062864878,0.010582081841850522,0.005244768530393791,0.006238305452044564,99
global,0,thetao_8,0.0072023701910493955,0.012330281416499856,0.006280676179537268,0.006971299210845521,99
global,0,thetao_9,0.00828151497049163,0.01264511344182973,0.007033000869507139,0.00686062682852751,99
global,0,thetao_10,0.00722459511304594,0.011373987120359835,0.005970662431509206,0.006657257243388831,99
global,0,thetao_11,0.005273464869594935,0.010857388433633429,0.003713173403715094,0.008704506524020073,99
global,0,thetao_12,0.0031697355972772293,0.00874126399632054,0.0017601035728185164,0.008390792490293583,99
global,0,thetao_13,0.0024621412110975897,0.003358381772131631,0.0010690921529506643,0.0036823386820315413,99
global,0,thetao_14,0.0022653387459653494,0.002070766046991327,0.000847189897092793,0.0026417250175856883,99
global,0,thetao_15,0.0023880107516441682,0.0014909403198727904,0.000779754552764423,0.0023194419507012523,99
global,0,thetao_16,0.0032448745379694784,0.0024294304529750587,0.000741340874369736,0.004191623217510906,99
