region,variable,box_width_cells,predicted_anomaly_second_moment,target_anomaly_second_moment,anomaly_cross_moment,anomaly_mse,anomaly_rms_ratio,anomaly_correlation,run
extratropics,so,0,0.0037609039608894686,0.0060622746614476,0.002068751718865744,0.005685675191782826,0.7876410042102049,0.43325586036066566,A
extratropics,so,3,0.0008383620306741788,0.0009373131444178054,0.0002924640469984491,0.0011907470819355736,0.9457436778148709,0.32992432065954436,A
extratropics,so,9,0.0019169049421521684,0.0025095795711831473,0.0007963602154223043,0.0028337640840536632,0.8739765968303763,0.3630853964748351,A
extratropics,sst,0,0.0053585917016284,0.0053585917016284,0.0053585917016284,0.0,1.0,1.0,A
extratropics,sst,3,0.0003471269379275,0.0003471269379275,0.0003471269379275,0.0,1.0,1.0,A
extratropics,sst,9,0.001001836462158,0.001001836462158,0.001001836462158,0.0,1.0,1.0,A
extratropics,thetao,0,0.005559637970641178,0.008439573906043206,0.004202755097100905,0.005593701703126317,0.8116391658156863,0.6135508569356014,A
extratropics,thetao,3,0.0013407824792621445,0.0014739693815193037,0.0008660806106662295,0.0010825906340896556,0.9537508368562517,0.6160768953831091,A
extratropics,thetao,9,0.0029926658415626558,0.0035871181333156665,0.0020105927420448985,0.002558598487981383,0.9133900443140889,0.6136520049278367,A
extratropics,uo,0,0.37353979715763536,0.47577047637965314,0.32783248058061276,0.19364531359208,0.886073391373168,0.777651109950559,A
extratropics,uo,3,0.2562290927249659,0.35889915138847456,0.22405134003009328,0.16702556382153716,0.8449441504453039,0.7388344045735029,A
extratropics,uo,9,0.35851781382356657,0.4573543696153804,0.3164858934744313,0.18290039569987124,0.8853784628169312,0.7815784406337242,A
extratropics,vo,0,0.6381062493560037,0.7347522544486924,0.5920866189295786,0.18868526688230788,0.9319144274548307,0.8647056239306415,A
extratropics,vo,3,0.3736991621375654,0.4512844520607633,0.3451170571215732,0.13474949994428967,0.9099884424224014,0.8403886470257992,A
