run,mode,region,lead_days,variable,normalized_mse,physical_mse,prediction_second_moment,target_second_moment,normalized_rmse,physical_rmse,prediction_rms,target_rms,rms_ratio
E-lr1,inferred,extratropics,0,so,0.011266489610014505,0.03338352528063389,1203.86447313908,1203.8131713542705,0.1061437214818404,0.18271159043868532,34.69675018123571,34.69601088532038,1.0000213078073374
E-lr1,inferred,extratropics,0,sst,0.0,0.0,264.66212894940617,264.66212894940617,0.0,0.0,16.268439659334454,16.268439659334454,1.0
E-lr1,inferred,extratropics,0,thetao,0.009589214658526095,0.24381629667289534,91.27948769308234,91.88061453580991,0.09792453552877387,0.4937775781390801,9.554029918996608,9.585437628810169,0.9967233932315035
E-lr1,inferred,extratropics,0,ts,0.010427852134270303,,,,0.10211685528976254,,,,
E-lr1,inferred,extratropics,0,uo,0.38470070987765553,0.0011784539406617426,0.0023183015645184013,0.0036498695552275684,0.6202424605568821,0.034328616934880186,0.04814874416346081,0.06041415028970919,0.7969779254126554
E-lr1,inferred,extratropics,0,vo,0.5098105511375084,0.0011191262089113865,0.001903331205073722,0.0030889873151848375,0.7140101897994933,0.033453343762789786,0.04362718424415816,0.05557865881059777,0.7849628828365915
E-lr1,inferred,extratropics,0,zos,0.0,0.0,0.48620438304814423,0.48620438304814423,0.0,0.0,0.697283574342709,0.697283574342709,1.0
E-lr1,inferred,extratropics,5,so,0.011009076913469112,0.031698947563123955,1203.8538611339548,1203.8158635205882,0.10492414838095715,0.17804198258591694,34.69659725583987,34.69604968178061,1.0000157820289135
E-lr1,inferred,extratropics,5,sst,0.0011509598022316889,0.15586601295555477,263.4800448947483,264.80069678720804,0.033925798475963526,0.39479869928300776,16.232068410857202,16.272697895161947,0.9975032115407966
E-lr1,inferred,extratropics,5,thetao,0.009408880479344484,0.22180025936706682,91.27519542791627,91.89021460419285,0.0969993839121903,0.47095674893462014,9.553805285220976,9.585938378906514,0.9966478927346075
E-lr1,inferred,extratropics,5,ts,0.010208978696406799,,,,0.10103949077666019,,,,
E-lr1,inferred,extratropics,5,uo,0.3526272608174218,0.0010480748641771543,0.002370548010472762,0.0036474312009881155,0.5938242676225196,0.03237398437290588,0.04868827384979634,0.06039396659425605,0.8061777789310992
E-lr1,inferred,extratropics,5,vo,0.45597740141145093,0.0009413391040871689,0.001928664907907151,0.003091959232748583,0.6752609876273402,0.030681250041143516,0.04391656757884376,0.05560538852259359,0.7897897801936871
E-lr1,inferred,extratropics,5,zos,0.0017954380489001041,0.0008322870278862212,0.48552084902320247,0.4863526396679156,0.04237260965411623,0.02884938522544668,0.6967932613216078,0.6973898763732634,0.9991445028500294
E-lr1,inferred,extratropics,10,so,0.010844753401211311,0.030549344858171113,1203.8373970871337,1203.8172161582934,0.10413814575462399,0.17478370878938093,34.69635999765874,34.69606917445106,1.000008382021785
E-lr1,inferred,extratropics,10,sst,0.001513162698370887,0.20491648427765774,263.34142727322046,264.84413516882694,0.038899392005157185,0.4526770198250158,16.227797979800602,16.274032541715865,0.9971589978208076
E-lr1,inferred,extratropics,10,thetao,0.00943258789999826,0.22075405685688648,91.26283611067886,91.89780742649144,0.09712151100553501,0.4698447156847531,9.55315843638526,9.58633441032032,0.9965392429978924
E-lr1,inferred,extratropics,10,ts,0.010138670650604784,,,,0.10069096608238887,,,,
E-lr1,inferred,extratropics,10,uo,0.33728928406906533,0.0009885820649464295,0.0024424788170708147,0.003650042322148721,0.5807661182171919,0.03144172490412111,0.0494214408639693,0.060415580127552534,0.8180247671151741
E-lr1,inferred,extratropics,10,vo,0.44048896226744777,0.0008999197060062774,0.0019984660255233993,0.0030950805369513337,0.6636934249090071,0.029998661736922155,0.044704205904180866,0.05563344800523633,0.8035490789636699
E-lr1,inferred,extratropics,10,zos,0.002224835261439084,0.0010313369060931839,0.4852121418172663,0.4864606968682222,0.047168159402706016,0.03211443454419187,0.6965717061561332,0.697467344660825,0.998715870339238
E-lr1,inferred,extratropics,15,so,0.010722506364682667,0.029618723184550937,1203.8224747215163,1203.8167773930713,0.1035495358013867,0.17210090988879442,34.696144954757095,34.696062851468774,1.0000023663574935
E-lr1,inferred,extratropics,15,sst,0.0018229939130538868,0.24687464444926288,263.1994758374763,264.9074671581538,0.042696532798974285,0.4968648150646843,16.223423678048857,16.275978224308172,0.9967710360916541
E-lr1,inferred,extratropics,15,thetao,0.009466153855331498,0.22087006314368088,91.24584120217665,91.90559417755247,0.09729416146579145,0.4699681512014201,9.552268903364093,9.586740539805616,0.9964042380933966
E-lr1,inferred,extratropics,15,ts,0.010094330110007084,,,,0.10047054349413605,,,,
E-lr1,inferred,extratropics,15,uo,0.3316941367445443,0.0009640374809312126,0.0025141548244335724,0.003641342693249186,0.5759289337622692,0.03104895297640828,0.05014134845049116,0.06034353895198048,0.8309315184578765
E-lr1,inferred,extratropics,15,vo,0.4389588524454265,0.0008980227612772468,0.002057716842085286,0.003082921659519059,0.6625396987693843,0.029967027901966634,0.045362063909011964,0.055524063787866416,0.8169802571065568
E-lr1,inferred,extratropics,15,zos,0.002802890527880502,0.0012992982014147707,0.4838878199307605,0.48554731107721427,0.05294233209710828,0.0360457792454924,0.6956204568087115,0.6968122495171954,0.9982896501757688
E-lr1,inferred,extratropics,20,so,0.01063385556188567,0.028888573470449867,1203.8072396196753,1203.815321375245,0.10312058747837732,0.16996638923754856,34.695925403708074,34.69604186899775,0.9999966432687014
E-lr1,inferred,extratropics,20,sst,0.0021148117522548637,0.286393386245978,263.0367685953776,264.7955252907493,0.04598708244991047,0.5351573471848985,16.218408324967577,16.272538993370066,0.9966734958555303
E-lr1,inferred,extratropics,20,thetao,0.009528765839280974,0.22243301966854742,91.22494187074747,91.90216510698583,0.09761539755223544,0.4716280522493837,9.551174894783754,9.5865616936932,0.996308707955979
E-lr1,inferred,extratropics,20,ts,0.010081310700583322,,,,0.10040573041705997,,,,
E-lr1,inferred,extratropics,20,uo,0.33236947219179136,0.0009688564560731745,0.002587182122901666,0.0036474580241133764,0.5765149366597464,0.03112645909950527,0.05086435021605669,0.06039418866176924,0.8422060357647435
E-lr1,inferred,extratropics,20,vo,0.4476916826211791,0.0009303306722591256,0.0021107227620845155,0.0030871982566572026,0.6690976629918678,0.03050132246738042,0.045942602909331505,0.05556256164592488,0.8268625770370879
E-lr1,inferred,extratropics,20,zos,0.003149120849698281,0.0014597955265674616,0.4840913213262654,0.4854934140287264,0.0561170281616755,0.038207270598244275,0.6957667147300634,0.6967735744334212,0.9985549685862058
E-lr1,inferred,extratropics,25,so,0.010574750213080186,0.028254920448491806,1203.7938415429999,1203.8151419364283,0.10283360449327927,0.16809199995386992,34.695732324639,34.69603928312897,0.9999911529241865
E-lr1,inferred,extratropics,25,sst,0.002393202141228296,0.32409374731959717,262.8542189164595,264.69304988360165,0.048920365301460045,0.569292321500648,16.21277949385791,16.26938996654766,0.9965204305259047
E-lr1,inferred,extratropics,25,thetao,0.009614906378438403,0.22539072678130173,91.20211436548485,91.897203308665,0.09805562899924922,0.4747533325647138,9.549979809689905,9.58630290094492,0.9962109384994047
E-lr1,inferred,extratropics,25,ts,0.010094828295759294,,,,0.10047302272629849,,,,
E-lr1,inferred,extratropics,25,uo,0.33536477405171894,0.0009753076910671777,0.002653283753174998,0.003646291957531004,0.5791068761910179,0.031229916603589862,0.05151003546082062,0.060384534092191224,0.8530335827743311
E-lr1,inferred,extratropics,25,vo,0.4599981240884602,0.0009627837668482479,0.0021462368939589465,0.0030822245559924397,0.6782316153707819,0.03102875709480236,0.04632749608989187,0.055517785942816915,0.8344622413006346
E-lr1,inferred,extratropics,25,zos,0.0034894797494728555,0.001617571115587802,0.48438757086040996,0.48579827914334306,0.05907181857258887,0.04021903921761188,0.6959795764678802,0.6969923092426078,0.9985469957683922
E-lr1,inferred,extratropics,30,so,0.010536608985436517,0.027738895887781695,1203.7824157357911,1203.8158307478568,0.10264798578363102,0.16654998014944852,34.69556766700598,34.69604920949728,0.999986121114586
E-lr1,inferred,extratropics,30,sst,0.0026872285225456364,0.36391157438658706,262.7413391729798,264.72332362936,0.051838484956117654,0.6032508386953035,16.20929792350612,16.27032032964809,0.9962494649825195
E-lr1,inferred,extratropics,30,thetao,0.00971897808289021,0.2292048274585794,91.18166070223255,91.8930253497211,0.09858487755680488,0.47875340986626863,9.548908874957,9.58608498552569,0.9961218672038873
E-lr1,inferred,extratropics,30,ts,0.010127793534163364,,,,0.10063693921301146,,,,
E-lr1,inferred,extratropics,30,uo,0.34146728363840706,0.0010004542898906451,0.0027051870673626454,0.003653029506141431,0.584352020308313,0.03162995873994535,0.05201141285682062,0.06044029703882527,0.8605419795241881
E-lr1,inferred,extratropics,30,vo,0.4752340248643813,0.001008643014020228,0.0021776192265413373,0.003089732657977778,0.6893721961787995,0.03175914063730673,0.046664967872498714,0.055585363702846974,0.8395189806072749
E-lr1,inferred,extratropics,30,zos,0.0038477504188476606,0.0017836498204768746,0.4835993909474575,0.486308480151976,0.062030237939634414,0.04223327859019324,0.6954131081216816,0.6973582150888996,0.997210749188679
E-lr1,inferred,global,0,so,0.010864328720447385,0.033884145256838166,1210.3976636741593,1210.2027203703358,0.1042320906460548,0.18407646578755843,34.79076980571369,34.787968040262655,1.0000805383472755
E-lr1,inferred,global,0,sst,0.0,0.0,447.4121497568458,447.4121497568458,0.0,0.0,21.15211927341669,21.15211927341669,1.0
E-lr1,inferred,global,0,thetao,0.009995716519371006,0.2678436718510848,142.2744346122549,142.8450749442232,0.0999785803028379,0.5175361551148719,11.927884750124596,11.951781245664732,0.9980005912885325
E-lr1,inferred,global,0,ts,0.010430022619909196,,,,0.10212748219705212,,,,
E-lr1,inferred,global,0,uo,0.3805416154535066,0.0014366497020959594,0.0045363291287895515,0.006036315295715531,0.6168805520143317,0.03790316216486376,0.06735227634452715,0.07769372751847817,0.8668946451115828
E-lr1,inferred,global,0,vo,0.46577217547517075,0.0011579684244257251,0.00178448699181861,0.003028792257069194,0.6824750365216085,0.03402893510566743,0.042243188703252624,0.05503446426621408,0.7675769950064895
E-lr1,inferred,global,0,zos,0.0,0.0,0.3823900824845439,0.3823900824845439,0.0,0.0,0.6183769744132974,0.6183769744132974,1.0
E-lr1,inferred,global,5,so,0.010534530153692588,0.03175608034716431,1210.3968170993446,1210.2049461904198,0.10263785926105722,0.178202357860844,34.79075763905329,34.788000031482404,1.0000792689309068
