arm,method,composite_fixed_validation_scale,spectral_error_dex,sst_rmse/day5,velocity_rmse/day5,eke_rmse/day5,sst_variance_map_rmse/day5,sst_rmse/day15,velocity_rmse/day15,eke_rmse/day15,sst_variance_map_rmse/day15,sst_rmse/day30,velocity_rmse/day30,eke_rmse/day30,sst_variance_map_rmse/day30,sst_rmse,velocity_rmse,eke_rmse,ohc_0_700_rmse,ohc_700_2000_rmse
primary,selected,0.6578108451500265,0.4246404270026421,0.396446455070284,0.14324389565954454,0.02327803299066018,0.5617863708784532,0.5182741789423391,0.1397436722044859,0.026536167832690395,0.6419113058855034,0.6000717020939907,0.1397216948299635,0.028067694665808062,0.7621302906556091,0.5049307787022046,0.14090308756466466,0.025960631829719544,650288028.1267813,415480526.16977495
primary,selected-inferred-persistence,0.6223204739064467,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,724147153.402211,429873628.3741336
primary,selected-inferred-anomaly-persistence,0.6333983747532201,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,738084440.3416717,463207664.8927633
primary,source-with-zero-forcing,2.5799676253295933,0.42291221071534224,0.5687037413949092,0.1424767226057864,0.02344086563059952,1.017764869854446,0.9897035212963637,0.14542810997236463,0.027179731923770344,1.8399621002373632,1.5143974505200009,0.15463107349710054,0.028923904107928444,2.7809521089067974,1.0242682377370913,0.1475119686917505,0.026514833887432768,6335750889.239528,4312723584.168614
primary,source-inferred-persistence,2.4585622974713246,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6350720123.067642,4283474000.162777
primary,inferred-anomaly-persistence,2.4585481695263782,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6348326352.555855,4284629210.2962003
primary,seasonal-climatology,1.3780512850815465,1.6402581261804532,0.9487160727374434,0.20042391938808574,0.031029778121511163,1.144697945573061,0.8456264659447679,0.20017246937158076,0.031028839217341862,1.15419287476738,0.9173717495967937,0.2000667019186821,0.03073433926687305,1.114814998744051,0.9039047627596682,0.20022103022611618,0.030930985535242025,838171742.102,372852154.41622376
adapter-only,selected,2.457308505482276,0.4378489435059411,0.6461277257124987,0.14175842064837632,0.023294320967377262,1.218655164733011,1.111520822602121,0.14356255887297742,0.02700375513460664,2.2531255942629995,1.709088086889848,0.15152632163499746,0.028721000955436962,3.4673562064586227,1.1555788784014893,0.14561576705211707,0.02633969235247362,6362350719.253618,3775327507.61618
adapter-only,selected-inferred-persistence,2.326029162679026,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6482891916.401302,3733993953.918262
adapter-only,selected-inferred-anomaly-persistence,2.325866502220265,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6479177143.977339,3735273928.132901
adapter-only,source-with-zero-forcing,2.5799676253295933,0.42291221071534224,0.5687037413949092,0.1424767226057864,0.02344086563059952,1.017764869854446,0.9897035212963637,0.14542810997236463,0.027179731923770344,1.8399621002373632,1.5143974505200009,0.15463107349710054,0.028923904107928444,2.7809521089067974,1.0242682377370913,0.1475119686917505,0.026514833887432768,6335750889.239528,4312723584.168614
adapter-only,source-inferred-persistence,2.4585622974713246,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6350720123.067642,4283474000.162777
adapter-only,inferred-anomaly-persistence,2.4585481695263782,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6348326352.555855,4284629210.2962003
adapter-only,seasonal-climatology,1.3780512850815465,1.6402581261804532,0.9487160727374434,0.20042391938808574,0.031029778121511163,1.144697945573061,0.8456264659447679,0.20017246937158076,0.031028839217341862,1.15419287476738,0.9173717495967937,0.2000667019186821,0.03073433926687305,1.114814998744051,0.9039047627596682,0.20022103022611618,0.030930985535242025,838171742.102,372852154.41622376
scratch,selected,0.9827231893131156,0.6242429902009154,1.5627020856325269,0.12384619091727705,0.02483744029337699,1.9219681544156502,0.9841482216326006,0.1374272499838482,0.028670195101935112,1.6296647200532752,1.121654731968635,0.15035594148030398,0.030056369114478614,1.528254029972582,1.2228350130779209,0.13720979412714307,0.027854668169930236,1076504465.1686933,691334614.1790595
scratch,selected-inferred-persistence,0.7170390806988264,0.21547029798499362,0.39440995383291055,0.16744415841785681,0.02156711782767133,0.16251467757023647,0.7643892957441745,0.19491757181153732,0.025517135714456952,0.2777872303620848,1.2149079399642753,0.2175229653238281,0.027071356336568504,0.07244246294509057,0.79123572984712,0.19329489851774073,0.02471853662623226,914616083.6016463,678944565.9804927
scratch,selected-inferred-anomaly-persistence,0.720889283595606,0.21547029798499362,0.39440995383291055,0.16744415841785681,0.02156711782767133,0.16251467757023647,0.7643892957441745,0.19491757181153732,0.025517135714456952,0.2777872303620848,1.2149079399642753,0.2175229653238281,0.027071356336568504,0.07244246294509057,0.79123572984712,0.19329489851774073,0.02471853662623226,912147068.4929584,694216484.5624853
scratch,source-with-zero-forcing,2.5799676253295933,0.42291221071534224,0.5687037413949092,0.1424767226057864,0.02344086563059952,1.017764869854446,0.9897035212963637,0.14542810997236463,0.027179731923770344,1.8399621002373632,1.5143974505200009,0.15463107349710054,0.028923904107928444,2.7809521089067974,1.0242682377370913,0.1475119686917505,0.026514833887432768,6335750889.239528,4312723584.168614
scratch,source-inferred-persistence,2.4585622974713246,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6350720123.067642,4283474000.162777
scratch,inferred-anomaly-persistence,2.4585481695263782,0.2154702980070154,0.3944099539665385,0.16744416106774598,0.021567117818721917,0.16251468924275256,0.7643892954350137,0.19491757410394006,0.025517135713339648,0.27778724600509047,1.214907939785774,0.21752296731551957,0.027071356355541164,0.07244246647559771,0.7912357297291087,0.19329490082906853,0.02471853662920091,6348326352.555855,4284629210.2962003
scratch,seasonal-climatology,1.3780512850815465,1.6402581261804532,0.9487160727374434,0.20042391938808574,0.031029778121511163,1.144697945573061,0.8456264659447679,0.20017246937158076,0.031028839217341862,1.15419287476738,0.9173717495967937,0.2000667019186821,0.03073433926687305,1.114814998744051,0.9039047627596682,0.20022103022611618,0.030930985535242025,838171742.102,372852154.41622376
