region,variable,box_width_cells,predicted_anomaly_second_moment,target_anomaly_second_moment,anomaly_cross_moment,anomaly_mse,anomaly_rms_ratio,anomaly_correlation,run
extratropics,so,0,0.003836741985924932,0.0060622746614476,0.0021051193314252,0.005688777970550368,0.7955426961819877,0.43649333597372475,A-s2718
extratropics,so,3,0.0008740551337244737,0.0009373131444178054,0.00029643442300200857,0.0012184994288570211,0.9656662659798771,0.3275041943275,A-s2718
extratropics,so,9,0.001946746250319863,0.0025095795711831473,0.0007919377201167475,0.002872450379250563,0.8807531157812807,0.35829097622915423,A-s2718
extratropics,sst,0,0.0053585917016284,0.0053585917016284,0.0053585917016284,0.0,1.0,1.0,A-s2718
extratropics,sst,3,0.0003471269379275,0.0003471269379275,0.0003471269379275,0.0,1.0,1.0,A-s2718
extratropics,sst,9,0.001001836462158,0.001001836462158,0.001001836462158,0.0,1.0,1.0,A-s2718
extratropics,thetao,0,0.005626987337812061,0.008439573906043206,0.004285914699190772,0.0054947318584903666,0.8165404590137207,0.6219354239975315,A-s2718
extratropics,thetao,3,0.0013636747136125944,0.0014739693815193037,0.0008709269673748543,0.0010957901618785834,0.961858445709009,0.6143022605046428,A-s2718
extratropics,thetao,9,0.0030211071422969558,0.0035871181333156665,0.00201117345015109,0.0025858783757651497,0.9177200584720606,0.6109330551139698,A-s2718
extratropics,uo,0,0.3786314109153154,0.47577047637965314,0.33129825167742133,0.19180538389259416,0.8920918578255442,0.7805704025421383,A-s2718
extratropics,uo,3,0.2606652656977066,0.35889915138847456,0.22712094645703615,0.16532252384532894,0.8522271512954639,0.7425563075330466,A-s2718
extratropics,uo,9,0.36368943480720295,0.4573543696153804,0.3199476251365782,0.1811485540464417,0.8917413926919976,0.78448949439248,A-s2718
extratropics,vo,0,0.6425598156319091,0.7347522544486924,0.5962035353595053,0.18490500165103024,0.9351608508828408,0.8676954142827127,A-s2718
extratropics,vo,3,0.37559239060906635,0.4512844520607633,0.3472524047420736,0.1323720330203121,0.9122906144455507,0.8434545470320141,A-s2718
extratropics,vo,9,0.6283780252090608,0.7155817991428588,0.5861139182617283,0.17173198694120625,0.9370890252797175,0.8740613107595974,A-s2718
