model,mode,region,lead_days,variable,normalized_rmse,levels,origins
ar,climatology,tropics,25,so,0.0744494187231777,19,99
ar,climatology,tropics,25,sst,0.05806178366144246,1,99
ar,climatology,tropics,25,thetao,0.07070741686336111,18,99
ar,climatology,tropics,25,uo,0.676589131854119,19,99
ar,climatology,tropics,25,vo,0.6617340625623731,19,99
ar,climatology,tropics,25,zos,0.06680968047532145,1,99
ar,climatology,tropics,30,so,0.07478826569062497,19,99
ar,climatology,tropics,30,sst,0.05943384329059927,1,99
ar,climatology,tropics,30,thetao,0.07105686037185101,18,99
ar,climatology,tropics,30,uo,0.6806279966251438,19,99
ar,climatology,tropics,30,vo,0.6653104128723157,19,99
ar,climatology,tropics,30,zos,0.0671291344544142,1,99
ar,inferred,extratropics,5,so,0.07345259509700901,19,99
ar,inferred,extratropics,5,sst,0.026361966057637576,1,99
ar,inferred,extratropics,5,thetao,0.07199242258300152,18,99
ar,inferred,extratropics,5,uo,0.41949901978569837,19,99
ar,inferred,extratropics,5,vo,0.430816340974268,19,99
ar,inferred,extratropics,5,zos,0.03687554966690665,1,99
ar,inferred,extratropics,10,so,0.07339647422399724,19,99
ar,inferred,extratropics,10,sst,0.03209034169124774,1,99
ar,inferred,extratropics,10,thetao,0.07235342135154148,18,99
ar,inferred,extratropics,10,uo,0.42908519186991717,19,99
ar,inferred,extratropics,10,vo,0.466927726146015,19,99
ar,inferred,extratropics,10,zos,0.04077820237143107,1,99
ar,inferred,extratropics,15,so,0.07345833614617654,19,99
ar,inferred,extratropics,15,sst,0.03731491550317819,1,99
ar,inferred,extratropics,15,thetao,0.07290727850813775,18,99
ar,inferred,extratropics,15,uo,0.44305450921586426,19,99
ar,inferred,extratropics,15,vo,0.4988744754825729,19,99
ar,inferred,extratropics,15,zos,0.04535410354372505,1,99
ar,inferred,extratropics,20,so,0.07377982025295692,19,99
ar,inferred,extratropics,20,sst,0.04106255809298635,1,99
ar,inferred,extratropics,20,thetao,0.07372177095878304,18,99
ar,inferred,extratropics,20,uo,0.4584453078467864,19,99
ar,inferred,extratropics,20,vo,0.5258769928392604,19,99
ar,inferred,extratropics,20,zos,0.048338504734182074,1,99
ar,inferred,extratropics,25,so,0.07432244070918996,19,99
ar,inferred,extratropics,25,sst,0.04444162589615148,1,99
ar,inferred,extratropics,25,thetao,0.07471226999860815,18,99
ar,inferred,extratropics,25,uo,0.47221924481525207,19,99
ar,inferred,extratropics,25,vo,0.5490750630565837,19,99
ar,inferred,extratropics,25,zos,0.05059564812073169,1,99
ar,inferred,extratropics,30,so,0.07499758315773734,19,99
ar,inferred,extratropics,30,sst,0.04763349406036468,1,99
ar,inferred,extratropics,30,thetao,0.0758128939989564,18,99
ar,inferred,extratropics,30,uo,0.48570550747755475,19,99
ar,inferred,extratropics,30,vo,0.5702590092201022,19,99
ar,inferred,extratropics,30,zos,0.053659668208264184,1,99
ar,inferred,global,5,so,0.07255609047555883,19,99
ar,inferred,global,5,sst,0.024568539896264743,1,99
ar,inferred,global,5,thetao,0.06765031994258743,18,99
ar,inferred,global,5,uo,0.44746753831743846,19,99
ar,inferred,global,5,vo,0.45153034281888854,19,99
ar,inferred,global,5,zos,0.031041493739542778,1,99
ar,inferred,global,10,so,0.07235425769485988,19,99
ar,inferred,global,10,sst,0.029822231692125518,1,99
ar,inferred,global,10,thetao,0.06774070584156365,18,99
ar,inferred,global,10,uo,0.45551928336041914,19,99
ar,inferred,global,10,vo,0.47587691734763815,19,99
ar,inferred,global,10,zos,0.03461824464378329,1,99
ar,inferred,global,15,so,0.07231673685745767,19,99
ar,inferred,global,15,sst,0.03459417353465992,1,99
ar,inferred,global,15,thetao,0.06806594322494978,18,99
ar,inferred,global,15,uo,0.46596224366315403,19,99
ar,inferred,global,15,vo,0.4987154171198636,19,99
ar,inferred,global,15,zos,0.0386898414462919,1,99
ar,inferred,global,20,so,0.0725805875781338,19,99
ar,inferred,global,20,sst,0.03808342943736538,1,99
ar,inferred,global,20,thetao,0.06871493480787708,18,99
ar,inferred,global,20,uo,0.4776079700694167,19,99
ar,inferred,global,20,vo,0.5201690021647721,19,99
ar,inferred,global,20,zos,0.04143040684500466,1,99
ar,inferred,global,25,so,0.07307194814244405,19,99
ar,inferred,global,25,sst,0.04115678842211552,1,99
ar,inferred,global,25,thetao,0.0695604515094369,18,99
ar,inferred,global,25,uo,0.4884893391564129,19,99
ar,inferred,global,25,vo,0.5389575965295074,19,99
ar,inferred,global,25,zos,0.04347921726659192,1,99
ar,inferred,global,30,so,0.07376593431204156,19,99
ar,inferred,global,30,sst,0.044070794509739664,1,99
ar,inferred,global,30,thetao,0.07055103999520956,18,99
ar,inferred,global,30,uo,0.4991034741093473,19,99
ar,inferred,global,30,vo,0.5567360237070247,19,99
ar,inferred,global,30,zos,0.04615378369907324,1,99
ar,inferred,tropics,5,so,0.0712881037698167,19,99
ar,inferred,tropics,5,sst,0.021102499113222047,1,99
ar,inferred,tropics,5,thetao,0.06005972192018261,18,99
ar,inferred,tropics,5,uo,0.49191138123850997,19,99
ar,inferred,tropics,5,vo,0.48617247156967225,19,99
ar,inferred,tropics,5,zos,0.016639783807489657,1,99
ar,inferred,tropics,10,so,0.07083341319021046,19,99
ar,inferred,tropics,10,sst,0.025416570712575137,1,99
ar,inferred,tropics,10,thetao,0.059611785718614994,18,99
ar,inferred,tropics,10,uo,0.49834478029169266,19,99
ar,inferred,tropics,10,vo,0.4931073464783561,19,99
ar,inferred,tropics,10,zos,0.019837449854312354,1,99
ar,inferred,tropics,15,so,0.0706207769008265,19,99
ar,inferred,tropics,15,sst,0.0292863687909431,1,99
ar,inferred,tropics,15,thetao,0.059481539769210494,18,99
ar,inferred,tropics,15,uo,0.504131520475868,19,99
ar,inferred,tropics,15,vo,0.5016433123764997,19,99
ar,inferred,tropics,15,zos,0.022939817044882047,1,99
ar,inferred,tropics,20,so,0.07078207155184031,19,99
ar,inferred,tropics,20,sst,0.03227564476882669,1,99
ar,inferred,tropics,20,thetao,0.05980537366184475,18,99
ar,inferred,tropics,20,uo,0.5106316410650957,19,99
ar,inferred,tropics,20,vo,0.5141141818205379,19,99
ar,inferred,tropics,20,zos,0.0253328849763327,1,99
ar,inferred,tropics,25,so,0.07118292708309035,19,99
ar,inferred,tropics,25,sst,0.034735948776648935,1,99
ar,inferred,tropics,25,thetao,0.060369433347408866,18,99
