run,origins,mean_rmse,sample_rmse,d_rmse,climatology_rmse,climatology_mae,specialist_rmse,crps,fair_crps,coverage_minmax,calibrated_minmax_reference,calibrated_spread_rmse_reference,d_mae,specialist_mae,coverage90,spread_rmse_ratio,anomaly_correlation,mean_amplitude,sample_amplitude
deterministic,99,0.0390068690254953,0.0390068690254953,0.0449922397591851,0.05487519773559118,0.03598497980767521,0.03784902039786834,0.025380359928517143,0.02538035927534586,6.331508918053875e-07,0.0,0.0,0.03154354579980638,0.025242963284051873,6.331508918053875e-07,0.0,0.7046040950782771,0.6731538521465612,0.6731538521465612
diffusion,99,0.0384227350903383,0.04131893429699185,0.0449922397591851,0.05487519773559118,0.03598497980767521,0.03784902039786834,0.020895539286918063,0.020500959319335484,0.4414692210140088,0.8823529411764707,0.9393364366277245,0.03154354579980638,0.025242963284051873,0.36362543190368496,0.3955201387185602,0.7165382813112547,0.6711357469984467,0.7260283855734728
