baseline,metric,relative_improvement,year_block_low,year_block_high
D,RMSE,0.14601417275532813,0.1356870075671015,0.15741198263752396
D,CRPS,0.3375653003776664,0.32229126610934355,0.35369327770686787
specialist,RMSE,-0.015157979954014245,-0.023844103649008158,-0.006776582727299845
specialist,CRPS,0.1722232032829698,0.16942454700659626,0.1753182382895624
deterministic,RMSE,0.014975155652077632,0.009574743932438753,0.01988657993315916
deterministic,CRPS,0.17670437512432502,0.16942174687970668,0.1816715020924897
