run,date,rank,weight,calibrated_reference
diffusion,2014-11-04 12:00:00,0,0.2540668577232168,0.058823529411764705
diffusion,2014-11-04 12:00:00,1,0.06417331766243706,0.058823529411764705
diffusion,2014-11-04 12:00:00,2,0.044635511632009184,0.058823529411764705
diffusion,2014-11-04 12:00:00,3,0.035781299634891184,0.058823529411764705
diffusion,2014-11-04 12:00:00,4,0.030583271795933342,0.058823529411764705
diffusion,2014-11-04 12:00:00,5,0.02833988376352181,0.058823529411764705
diffusion,2014-11-04 12:00:00,6,0.026802423744811676,0.058823529411764705
diffusion,2014-11-04 12:00:00,7,0.023945061483232166,0.058823529411764705
diffusion,2014-11-04 12:00:00,8,0.023286006779244417,0.058823529411764705
diffusion,2014-11-04 12:00:00,9,0.022937885495366572,0.058823529411764705
diffusion,2014-11-04 12:00:00,10,0.023652665908343806,0.058823529411764705
diffusion,2014-11-04 12:00:00,11,0.02547126471131378,0.058823529411764705
diffusion,2014-11-04 12:00:00,12,0.02889633136589964,0.058823529411764705
diffusion,2014-11-04 12:00:00,13,0.031815399530842114,0.058823529411764705
diffusion,2014-11-04 12:00:00,14,0.036401069233875205,0.058823529411764705
diffusion,2014-11-04 12:00:00,15,0.05273802508281733,0.058823529411764705
diffusion,2014-11-04 12:00:00,16,0.2464737345408139,0.058823529411764705
diffusion,2014-12-04 12:00:00,0,0.2483953960550025,0.058823529411764705
diffusion,2014-12-04 12:00:00,1,0.059119321612229214,0.058823529411764705
diffusion,2014-12-04 12:00:00,2,0.04332141126019451,0.058823529411764705
diffusion,2014-12-04 12:00:00,3,0.035656952152692156,0.058823529411764705
diffusion,2014-12-04 12:00:00,4,0.03158232143374562,0.058823529411764705
diffusion,2014-12-04 12:00:00,5,0.02951943292754322,0.058823529411764705
diffusion,2014-12-04 12:00:00,6,0.028477022572076294,0.058823529411764705
diffusion,2014-12-04 12:00:00,7,0.02753860505447392,0.058823529411764705
diffusion,2014-12-04 12:00:00,8,0.026718586688446067,0.058823529411764705
diffusion,2014-12-04 12:00:00,9,0.02683126399875846,0.058823529411764705
diffusion,2014-12-04 12:00:00,10,0.02818387556186508,0.058823529411764705
diffusion,2014-12-04 12:00:00,11,0.029280535617999703,0.058823529411764705
diffusion,2014-12-04 12:00:00,12,0.028896184493191868,0.058823529411764705
diffusion,2014-12-04 12:00:00,13,0.032840309117034394,0.058823529411764705
diffusion,2014-12-04 12:00:00,14,0.03949121315895354,0.058823529411764705
diffusion,2014-12-04 12:00:00,15,0.05607295024083214,0.058823529411764705
diffusion,2014-12-04 12:00:00,16,0.2280746281435313,0.058823529411764705
diffusion,2015-01-03 12:00:00,0,0.26146078349273694,0.058823529411764705
diffusion,2015-01-03 12:00:00,1,0.06273699242848352,0.058823529411764705
diffusion,2015-01-03 12:00:00,2,0.04298165682138233,0.058823529411764705
diffusion,2015-01-03 12:00:00,3,0.035175235133351634,0.058823529411764705
diffusion,2015-01-03 12:00:00,4,0.03262270594967731,0.058823529411764705
diffusion,2015-01-03 12:00:00,5,0.02895781791863783,0.058823529411764705
diffusion,2015-01-03 12:00:00,6,0.028027697366155735,0.058823529411764705
diffusion,2015-01-03 12:00:00,7,0.025023740347819512,0.058823529411764705
diffusion,2015-01-03 12:00:00,8,0.023713408996172802,0.058823529411764705
diffusion,2015-01-03 12:00:00,9,0.024167262310129445,0.058823529411764705
diffusion,2015-01-03 12:00:00,10,0.02255034653722987,0.058823529411764705
diffusion,2015-01-03 12:00:00,11,0.026968361956960507,0.058823529411764705
diffusion,2015-01-03 12:00:00,12,0.0292373361025966,0.058823529411764705
diffusion,2015-01-03 12:00:00,13,0.03198830568805988,0.058823529411764705
diffusion,2015-01-03 12:00:00,14,0.039219109226223736,0.058823529411764705
diffusion,2015-01-03 12:00:00,15,0.05292289990234167,0.058823529411764705
diffusion,2015-01-03 12:00:00,16,0.23224634991061066,0.058823529411764705
diffusion,2015-02-02 12:00:00,0,0.24885286696007825,0.058823529411764705
diffusion,2015-02-02 12:00:00,1,0.061358426664810395,0.058823529411764705
diffusion,2015-02-02 12:00:00,2,0.043754736945174955,0.058823529411764705
diffusion,2015-02-02 12:00:00,3,0.03554397988682467,0.058823529411764705
diffusion,2015-02-02 12:00:00,4,0.0317798496628825,0.058823529411764705
diffusion,2015-02-02 12:00:00,5,0.027699406788485703,0.058823529411764705
diffusion,2015-02-02 12:00:00,6,0.028144357909013706,0.058823529411764705
diffusion,2015-02-02 12:00:00,7,0.028034483328951865,0.058823529411764705
diffusion,2015-02-02 12:00:00,8,0.026067817949297023,0.058823529411764705
diffusion,2015-02-02 12:00:00,9,0.025789672665155194,0.058823529411764705
diffusion,2015-02-02 12:00:00,10,0.02689687393251461,0.058823529411764705
diffusion,2015-02-02 12:00:00,11,0.026443922971452594,0.058823529411764705
diffusion,2015-02-02 12:00:00,12,0.028610800471710718,0.058823529411764705
diffusion,2015-02-02 12:00:00,13,0.031165935599688055,0.058823529411764705
diffusion,2015-02-02 12:00:00,14,0.03724749312914355,0.058823529411764705
diffusion,2015-02-02 12:00:00,15,0.05385294325878931,0.058823529411764705
diffusion,2015-02-02 12:00:00,16,0.2387564419645969,0.058823529411764705
diffusion,2015-03-04 12:00:00,0,0.25429162629149005,0.058823529411764705
diffusion,2015-03-04 12:00:00,1,0.0645046290401865,0.058823529411764705
diffusion,2015-03-04 12:00:00,2,0.04502916006032365,0.058823529411764705
diffusion,2015-03-04 12:00:00,3,0.03550844952451371,0.058823529411764705
diffusion,2015-03-04 12:00:00,4,0.03170728223858532,0.058823529411764705
diffusion,2015-03-04 12:00:00,5,0.02837955844535145,0.058823529411764705
diffusion,2015-03-04 12:00:00,6,0.026367520613121087,0.058823529411764705
diffusion,2015-03-04 12:00:00,7,0.02528332578492609,0.058823529411764705
diffusion,2015-03-04 12:00:00,8,0.024735144540954934,0.058823529411764705
diffusion,2015-03-04 12:00:00,9,0.023984107262776888,0.058823529411764705
diffusion,2015-03-04 12:00:00,10,0.02335347760890727,0.058823529411764705
diffusion,2015-03-04 12:00:00,11,0.025308650523697906,0.058823529411764705
diffusion,2015-03-04 12:00:00,12,0.02771292112424817,0.058823529411764705
diffusion,2015-03-04 12:00:00,13,0.029823325246070453,0.058823529411764705
diffusion,2015-03-04 12:00:00,14,0.03497068274873527,0.058823529411764705
diffusion,2015-03-04 12:00:00,15,0.05285053326269917,0.058823529411764705
diffusion,2015-03-04 12:00:00,16,0.24618961577198206,0.058823529411764705
diffusion,2015-04-03 12:00:00,0,0.28067851653338494,0.058823529411764705
diffusion,2015-04-03 12:00:00,1,0.06819325432422829,0.058823529411764705
diffusion,2015-04-03 12:00:00,2,0.04583548452882269,0.058823529411764705
diffusion,2015-04-03 12:00:00,3,0.035339555620680585,0.058823529411764705
diffusion,2015-04-03 12:00:00,4,0.02903936008431174,0.058823529411764705
diffusion,2015-04-03 12:00:00,5,0.026238223883751743,0.058823529411764705
diffusion,2015-04-03 12:00:00,6,0.024229231959225217,0.058823529411764705
diffusion,2015-04-03 12:00:00,7,0.02266491053279651,0.058823529411764705
diffusion,2015-04-03 12:00:00,8,0.022135972180024055,0.058823529411764705
diffusion,2015-04-03 12:00:00,9,0.020534375294971596,0.058823529411764705
diffusion,2015-04-03 12:00:00,10,0.02178380245311473,0.058823529411764705
diffusion,2015-04-03 12:00:00,11,0.02323542030489989,0.058823529411764705
diffusion,2015-04-03 12:00:00,12,0.025628799396031354,0.058823529411764705
diffusion,2015-04-03 12:00:00,13,0.024798251761581014,0.058823529411764705
diffusion,2015-04-03 12:00:00,14,0.033007275018235305,0.058823529411764705
diffusion,2015-04-03 12:00:00,15,0.045408887269786646,0.058823529411764705
diffusion,2015-04-03 12:00:00,16,0.2512486889427237,0.058823529411764705
diffusion,2015-05-03 12:00:00,0,0.3056143252534298,0.058823529411764705
