index,date,members,mean_mse,sample_mse,d_mse,climatology_mse,crps,d_mae,spread_variance,coverage90,anomaly_correlation,mean_anomaly_m2,sample_anomaly_m2,truth_anomaly_m2
0,2014-11-04 12:00:00,1,0.0011061916845756738,0.0011061916845756738,0.0016638382681922663,0.0027990015324046097,0.02158969642106634,0.028857448670040586,0.0,0.0,0.7784771168953982,0.0014927988968666903,0.0014927988968666903,0.0027990015324046097
6,2014-12-04 12:00:00,1,0.0010340641470807886,0.0010340641470807886,0.0015911415147797465,0.0027737593065109627,0.02066913559589334,0.02803366314666933,0.0,0.0,0.792483441448666,0.001551524040072958,0.001551524040072958,0.0027737593065109627
12,2015-01-03 12:00:00,1,0.0011025469930643836,0.0011025469930643836,0.0015966525225418623,0.0028068668059606046,0.021440372481758452,0.028298647983174385,0.0,0.0,0.7799396531074778,0.0015044007842740998,0.0015044007842740998,0.0028068668059606046
18,2015-02-02 12:00:00,1,0.001141293840256748,0.001141293840256748,0.0016409060448510117,0.0027541982325325525,0.021590053077061078,0.028726928427344145,0.0,0.0,0.766419480273907,0.00140631835927793,0.00140631835927793,0.0027541982325325525
24,2015-03-04 12:00:00,1,0.0012163724947144455,0.0012163724947144455,0.0017716911597047103,0.002760582443976586,0.0229622896587105,0.02957120978187966,0.0,0.0,0.7487215065606149,0.001371339039946907,0.001371339039946907,0.002760582443976586
30,2015-04-03 12:00:00,1,0.0012510677330300022,0.0012510677330300022,0.0017515676615229676,0.002792584299177245,0.023276543218518242,0.02979226780931432,0.0,0.0,0.743921457709763,0.0013729602689902423,0.0013729602689902423,0.002792584299177245
36,2015-05-03 12:00:00,1,0.0012363685897037614,0.0012363685897037614,0.001733124761335443,0.0028034023290753668,0.02279682505421854,0.029597731778406855,0.0,0.0,0.7478453482976903,0.0014185563258592936,0.0014185563258592936,0.0028034023290753668
42,2015-06-02 12:00:00,1,0.0012387937001037234,0.0012387937001037234,0.0016812073749289144,0.002778699458976129,0.02230094112672032,0.028722310392686357,0.0,0.0,0.7448224552001128,0.001397941482277346,0.001397941482277346,0.002778699458976129
48,2015-07-02 12:00:00,1,0.0012007473362726615,0.0012007473362726615,0.0017203515374079553,0.002790664351803137,0.0222008343937381,0.02884707130154185,0.0,0.0,0.7558856699210073,0.001378211903525129,0.001378211903525129,0.002790664351803137
54,2015-08-01 12:00:00,1,0.0011319123750320563,0.0011319123750320563,0.0016210898131921807,0.002732452568519295,0.021496506172485774,0.028116127296445192,0.0,0.0,0.7656858549619037,0.001440679632607456,0.001440679632607456,0.002732452568519295
60,2015-08-31 12:00:00,1,0.001294343482676685,0.001294343482676685,0.0018934738572508913,0.002736314009395642,0.02366892821823985,0.03060471167205292,0.0,0.0,0.7259312974243438,0.0012968307723920686,0.0012968307723920686,0.002736314009395642
66,2015-09-30 12:00:00,1,0.0015254686820394105,0.0015254686820394105,0.0021505679959375953,0.00288603290144298,0.02541254276152083,0.032736637411026726,0.0,0.0,0.6856303669413986,0.0013173919848507335,0.0013173919848507335,0.00288603290144298
72,2015-10-30 12:00:00,1,0.0014448625089279316,0.0014448625089279316,0.002042005018985008,0.002982949259352582,0.02459293143423613,0.031544619103518245,0.0,0.0,0.7179819579051817,0.0014206918516132341,0.0014206918516132341,0.002982949259352582
78,2015-11-29 12:00:00,1,0.001360871134630914,0.001360871134630914,0.0019292677139040842,0.00299341599368335,0.02427344163604639,0.030918479122949316,0.0,0.0,0.738908999713591,0.0014698358766140312,0.0014698358766140312,0.00299341599368335
84,2015-12-29 12:00:00,1,0.0014096950122713297,0.0014096950122713297,0.0019819913236376885,0.002886579517345782,0.024700773639459772,0.031095203489289958,0.0,0.0,0.7162670591014215,0.0014037303648332384,0.0014037303648332384,0.002886579517345782
90,2016-01-28 12:00:00,1,0.0014176052516599459,0.0014176052516599459,0.001960335357092628,0.002900942119518498,0.025306758593481637,0.031625865339119485,0.0,0.0,0.7176707396807438,0.0014224952859575035,0.0014224952859575035,0.002900942119518498
96,2016-02-27 12:00:00,1,0.0014175283179306954,0.0014175283179306954,0.001972357393998592,0.0028659179514533765,0.02508810733353739,0.031488867166800105,0.0,0.0,0.7105392264070662,0.0014028563414616635,0.0014028563414616635,0.0028659179514533765
102,2016-03-28 12:00:00,1,0.0013867405402108093,0.0013867405402108093,0.0019085607137849677,0.0028177988898195937,0.025127376479506136,0.03108700040141099,0.0,3.1190280424198136e-05,0.7139001531642352,0.0013659454820028095,0.0013659454820028095,0.0028177988898195937
108,2016-04-27 12:00:00,1,0.0013256058607080655,0.0013256058607080655,0.0018389479841582422,0.00278480263396628,0.02416365763707362,0.03067027825336699,0.0,0.0,0.72522818975866,0.0013929453567184478,0.0013929453567184478,0.00278480263396628
114,2016-05-27 12:00:00,1,0.0014052128321274692,0.0014052128321274692,0.0019607928610198447,0.002756451676498601,0.025095280081876004,0.03162593138652592,0.0,0.0,0.7035871891459583,0.0013483139574773486,0.0013483139574773486,0.002756451676498601
120,2016-06-26 12:00:00,1,0.0013398925830382334,0.0013398925830382334,0.0018811255838613787,0.0026743033158464413,0.024259410525023783,0.03085016232763138,0.0,0.0,0.7089713169499015,0.0012901876561148959,0.0012901876561148959,0.0026743033158464413
126,2016-07-26 12:00:00,1,0.001400091059853981,0.001400091059853981,0.001932843785681218,0.0027501920578824556,0.02432198912167083,0.030789464761119545,0.0,0.0,0.701678532195685,0.0012742054642781585,0.0012742054642781585,0.0027501920578824556
132,2016-08-25 12:00:00,1,0.001261916442741006,0.001261916442741006,0.0018301165306935032,0.0026828620468523916,0.02279694129765386,0.029940953730676068,0.0,0.0,0.7287530512231826,0.0013610747689614565,0.0013610747689614565,0.0026828620468523916
