2026/09/22 11:32:13.853, 0, 0, 0
2026/09/22 11:32:13.857, 1, 0, 0
2026/09/22 11:32:28.861, 0, 0, 559
2026/09/22 11:32:28.861, 1, 0, 559
2026/09/22 11:32:43.862, 0, 17, 13947
2026/09/22 11:32:43.863, 1, 0, 16351
2026/09/22 11:32:58.864, 0, 0, 17165
2026/09/22 11:32:58.864, 1, 0, 17165
2026/09/22 11:33:13.865, 0, 0, 33259
2026/09/22 11:33:13.865, 1, 0, 18173
2026/09/22 11:33:28.866, 0, 5, 44657
2026/09/22 11:33:28.867, 1, 5, 44657
2026/09/22 11:33:43.867, 0, 5, 44657
2026/09/22 11:33:43.868, 1, 2, 44657
2026/09/22 11:33:58.869, 0, 0, 44865
2026/09/22 11:33:58.869, 1, 0, 44867
