region,box_width_cells,channel,predicted_anomaly_second_moment,target_anomaly_second_moment,anomaly_cross_moment,anomaly_mse,origins
global,0,uo_0,0.36174610708699084,0.44721102353298303,0.3407858187201047,0.12738549235192212,99
global,0,uo_1,0.40280369014451,0.4892850692826088,0.3860894498800991,0.11990986057002136,99
global,0,uo_2,0.42949273249115605,0.5141384291528451,0.41740233007103505,0.10882651444637415,99
global,0,uo_3,0.41654441964746725,0.4994141889943017,0.40521743622693146,0.10552372986620123,99
global,0,uo_4,0.34435735868685174,0.41877185425373037,0.3294030117868173,0.10432319064634014,99
global,0,uo_5,0.2860604030917389,0.35726736470906423,0.2679833662931365,0.10736103423617104,99
global,0,uo_6,0.2716025911798381,0.33777143317039565,0.24798749191592437,0.11339904149674405,99
global,0,uo_7,0.3554481439518206,0.4361954295273983,0.3209829565250512,0.1496776616332507,99
global,0,uo_8,0.38456574232891355,0.4782874265102425,0.34515349491678105,0.17254618352109735,99
global,0,uo_9,0.3745803814945799,0.474885123847711,0.3317480565923633,0.1859693926091146,99
global,0,uo_10,0.3522603894122923,0.46598353349801264,0.3081856719171158,0.20187258178537543,99
global,0,uo_11,0.3395529296061005,0.4623004673707365,0.28858368640596216,0.22468602341232877,99
global,0,uo_12,0.3278743591573503,0.4591639156293387,0.2667557574582822,0.2535267613752924,99
global,0,uo_13,0.31873553569870766,0.4531179103586409,0.24613490294326434,0.27958364227805477,99
global,0,uo_14,0.3358257232290326,0.4730939139621426,0.25133986259349667,0.3062399071876449,99
global,0,uo_15,0.37136356788452224,0.5348082880179087,0.2649011104696929,0.37636963375891097,99
global,0,uo_16,0.39326425543939225,0.591971294446425,0.26851909795794826,0.4481973572812899,99
global,0,uo_17,0.3587804241011841,0.5408051128339286,0.23003954613449598,0.4395064509878255,99
global,0,uo_18,0.2875281810158431,0.4628845456272665,0.19025257591045264,0.36990757120980156,99
global,0,vo_0,0.5583784068473662,0.6371854534654906,0.5113381638069345,0.17288752667831653,99
global,0,vo_1,0.5637537388488499,0.6362425067810097,0.5264732762418612,0.14704969683379837,99
global,0,vo_2,0.5821299775682315,0.648544268174605,0.5578714606135783,0.1149313116464952,99
global,0,vo_3,0.5957349749526593,0.6636316661882882,0.5785656911556167,0.10223526402254297,99
global,0,vo_4,0.5827971161013902,0.6494225721166591,0.5659303833739926,0.10035891198750699,99
global,0,vo_5,0.5523354772365454,0.6217725180616283,0.5323749115370741,0.10935817523436113,99
global,0,vo_6,0.5357150447489035,0.6010017714115105,0.5115022340206185,0.1137123518820965,99
global,0,vo_7,0.5472210745016733,0.6081744083250412,0.5192483603352248,0.11689875545826825,99
global,0,vo_8,0.5543197640264877,0.6197710308161649,0.5242260592152373,0.1256386884535202,99
global,0,vo_9,0.550686308530846,0.6211628179357509,0.5171036551697086,0.137641809203408,99
global,0,vo_10,0.5323087889136691,0.6176243183588741,0.4964832296275129,0.15696664560924878,99
global,0,vo_11,0.5156689195921926,0.6179243880088883,0.47411818245444637,0.18535694329425542,99
global,0,vo_12,0.4926143993030895,0.6115481636740945,0.44083203179667696,0.22249850299623278,99
global,0,vo_13,0.46877844466103447,0.6008604271243317,0.40162589363377504,0.26638708813021883,99
global,0,vo_14,0.4665206526265,0.6120739320311883,0.38075078587339384,0.3170930162222699,99
global,0,vo_15,0.476247689037612,0.6541493498917782,0.3633697084104172,0.4036576169909853,99
global,0,vo_16,0.4599123922261325,0.6619076939544293,0.3303186134858565,0.4611828495757748,99
global,0,vo_17,0.41507629944820595,0.6014474726686574,0.2840211426067834,0.4484814832908939,99
global,0,vo_18,0.35984514999871303,0.5472261285541034,0.24736514687538147,0.4123409835979192,99
global,0,thetao_0,0.004692449471960315,0.004692449471960315,0.004692449471960315,0.0,99
