2026/09/22 11:32:27.705, 0, 0, 0
2026/09/22 11:32:27.710, 1, 0, 0
2026/09/22 11:32:42.715, 0, 0, 559
2026/09/22 11:32:42.716, 1, 0, 559
2026/09/22 11:32:57.716, 0, 2, 13517
2026/09/22 11:32:57.717, 1, 0, 13447
2026/09/22 11:33:12.718, 0, 0, 17531
2026/09/22 11:33:12.718, 1, 0, 17531
2026/09/22 11:33:27.719, 0, 0, 17531
2026/09/22 11:33:27.719, 1, 0, 17531
2026/09/22 11:33:42.719, 0, 100, 45005
2026/09/22 11:33:42.720, 1, 54, 45005
2026/09/22 11:33:57.721, 0, 5, 45005
2026/09/22 11:33:57.721, 1, 5, 45005
2026/09/22 11:34:12.722, 0, 5, 45005
2026/09/22 11:34:12.722, 1, 5, 45005
