2026/09/22 11:32:17.010, 0, 0, 0
2026/09/22 11:32:17.015, 1, 0, 0
2026/09/22 11:32:32.020, 0, 0, 559
2026/09/22 11:32:32.021, 1, 0, 559
2026/09/22 11:32:47.022, 0, 21, 16371
2026/09/22 11:32:47.023, 1, 0, 16371
2026/09/22 11:33:02.024, 0, 0, 17185
2026/09/22 11:33:02.024, 1, 0, 17185
2026/09/22 11:33:17.025, 0, 0, 37853
2026/09/22 11:33:17.025, 1, 0, 37853
2026/09/22 11:33:32.027, 0, 1, 44659
2026/09/22 11:33:32.027, 1, 5, 44659
2026/09/22 11:33:47.028, 0, 72, 44659
2026/09/22 11:33:47.028, 1, 5, 44659
2026/09/22 11:34:02.030, 0, 0, 44881
2026/09/22 11:34:02.030, 1, 1, 44853
