region,box_width_cells,channel,predicted_anomaly_second_moment,target_anomaly_second_moment,anomaly_cross_moment,anomaly_mse,origins
global,0,uo_0,0.4052183266842004,0.44721102353298303,0.40084421604570714,0.050740919442790924,99
global,0,uo_1,0.44370120703571975,0.4892850692826088,0.4377681143356092,0.057450048663098406,99
global,0,uo_2,0.46624539506555807,0.5141384291528451,0.4596744285087393,0.06103497457624686,99
global,0,uo_3,0.44230745115665476,0.4994141889943017,0.4353087761185386,0.07110408874172153,99
global,0,uo_4,0.36041329123757104,0.41877185425373037,0.35075264416559776,0.07767985588071322,99
global,0,uo_5,0.3003918755837161,0.35726736470906423,0.28733428319295246,0.08299067917496267,99
global,0,uo_6,0.2860377388771134,0.33777143317039565,0.2684346085244959,0.0869399562779099,99
global,0,uo_7,0.37649125402623956,0.4361954295273983,0.3506905295030035,0.11130562236513754,99
global,0,uo_8,0.40976388346065173,0.4782874265102425,0.3800491774925078,0.12795296356533514,99
global,0,uo_9,0.39901732916783805,0.474885123847711,0.36669933705618885,0.14050377905368805,99
global,0,uo_10,0.3776127232445611,0.46598353349801264,0.3432598640822401,0.15707653188946272,99
global,0,uo_11,0.3650441455720651,0.4623004673707365,0.32369982172744444,0.1799449777663356,99
global,0,uo_12,0.3503721061379019,0.4591639156293387,0.2995990147494306,0.2103379951281981,99
global,0,uo_13,0.3340242062554215,0.4531179103586409,0.2737040015483143,0.2397341129153666,99
global,0,uo_14,0.3482147729155993,0.4730939139621426,0.27680503689881525,0.2676986094677087,99
global,0,uo_15,0.38372881454650803,0.5348082880179087,0.29111748542448485,0.33630213111337987,99
global,0,uo_16,0.4091266763932777,0.591971294446425,0.29680656363265684,0.40748484297232196,99
global,0,uo_17,0.3698404879883082,0.5408051128339286,0.25183086368170654,0.4069838731577902,99
global,0,uo_18,0.2886325823839265,0.4628845456272665,0.2069643454419242,0.3375884300530559,99
global,0,vo_0,0.5902165626034592,0.6371854534654906,0.5768211712740888,0.0737596769073997,99
global,0,vo_1,0.5901694538617375,0.6362425067810097,0.5764232268839171,0.07356552516270165,99
global,0,vo_2,0.6049607859717475,0.648544268174605,0.5948318640391032,0.06384131715002686,99
global,0,vo_3,0.6127074878625195,0.6636316661882882,0.6037171756980395,0.068904806756311,99
global,0,vo_4,0.5940465659204156,0.6494225721166591,0.5835726038374082,0.07632393277052676,99
global,0,vo_5,0.5585011192644486,0.6217725180616283,0.5448049514582662,0.0906637351621281,99
global,0,vo_6,0.5431283911069235,0.6010017714115105,0.5240180453266761,0.09609406923103814,99
global,0,vo_7,0.5564567001179012,0.6081744083250412,0.5335708826479285,0.09748934081407508,99
global,0,vo_8,0.5638574987950952,0.6197710308161649,0.5395127709465798,0.104602988395426,99
global,0,vo_9,0.5598870181676113,0.6211628179357509,0.5326164963871541,0.11581683407227199,99
global,0,vo_10,0.5439117162516622,0.6176243183588741,0.5137719403613697,0.13399215795174993,99
global,0,vo_11,0.5301604860960835,0.6179243880088883,0.4937499403351485,0.16058499840172855,99
global,0,vo_12,0.5078135608422636,0.6115481636740945,0.4609164661831326,0.19752880494401912,99
global,0,vo_13,0.48236257048568343,0.6008604271243317,0.42037115945960535,0.24248068034648895,99
global,0,vo_14,0.4805209013548764,0.6120739320311883,0.40207891331778634,0.28843699922465316,99
global,0,vo_15,0.4934109533675993,0.6541493498917782,0.39122206845668833,0.36511616092739685,99
global,0,vo_16,0.47895551721254986,0.6619076939544293,0.3606079034130983,0.4196473983201114,99
global,0,vo_17,0.42983079378050987,0.6014474726686574,0.3074236751505823,0.4164309053107946,99
global,0,vo_18,0.36424148142939866,0.5472261285541034,0.26557626838635917,0.3803150744149179,99
global,0,thetao_0,0.004692449471960315,0.004692449471960315,0.004692449471960315,0.0,99
global,0,thetao_1,0.00468923564003122,0.004617655645077577,0.004363397486752483,0.0005800963515848524,99
global,0,thetao_2,0.004495583281786454,0.004567033011522709,0.0038671056137918824,0.0013284051133498475,99
global,0,thetao_3,0.004699972897974981,0.005106154850430109,0.0036751878532496366,0.0024557520701277134,99
global,0,thetao_4,0.005440229851037565,0.006511206004881497,0.004305603380098638,0.003340229025167046,99
global,0,thetao_5,0.0068650549757435465,0.008594779946813078,0.005697478975329285,0.004064876908398789,99
global,0,thetao_6,0.006801126426029386,0.009852218935548357,0.005764649795236612,0.0051240457052534275,99
global,0,thetao_7,0.0066153617538135465,0.010582081841850522,0.005685629299606638,0.005826184944710647,99
global,0,thetao_8,0.007569640225759058,0.012330281416499856,0.0066915018803844544,0.006516917843860809,99
global,0,thetao_9,0.008532807889460313,0.01264511344182973,0.007349386924143993,0.006479147628815186,99
global,0,thetao_10,0.007615084774001982,0.011373987120359835,0.006251156410070682,0.006486758867259881,99
global,0,thetao_11,0.005451421944819616,0.010857388433633429,0.0038816902029205754,0.008545430029055686,99
global,0,thetao_12,0.003255686934360049,0.00874126399632054,0.0018017646442684862,0.008393421675069164,99
global,0,thetao_13,0.0024319338809811707,0.003358381772131631,0.001034740948311119,0.0037208337435555277,99
global,0,thetao_14,0.002337941991616831,0.002070766046991327,0.0009062283424274865,0.0025962513325867628,99
global,0,thetao_15,0.002513443667799084,0.0014909403198727904,0.0008296479507481134,0.002345088104990245,99
global,0,thetao_16,0.0033963430094335117,0.0024294304529750587,0.0007639486075736432,0.004297876257844495,99
global,0,thetao_17,0.0038725212992479405,0.005719828687495355,0.002291223106581266,0.005009903767701201,99
global,0,thetao_18,0.004020352189363253,0.007358547648170379,0.0034617251420224256,0.004455449574655204,99
global,0,so_0,0.007291591133583675,0.010010514530644875,0.003881223869011408,0.009539657907391136,99
global,0,so_1,0.006453784775327553,0.008220969642879385,0.0034553763454290803,0.007764001635627614,99
global,0,so_2,0.0055167941385974185,0.007238024323614258,0.0030185307418419557,0.0067177570584898046,99
global,0,so_3,0.004638013239441948,0.0063998075343216915,0.002601662848257657,0.00583449499493446,99
global,0,so_4,0.004230324795112164,0.006201809065209495,0.0023082743970338593,0.005815585148567805,99
global,0,so_5,0.004106099508006615,0.006020669759523989,0.002058879020764972,0.006009011209537887,99
global,0,so_6,0.00472073100337928,0.008865191380145273,0.002803135976063633,0.00797965039376809,99
global,0,so_7,0.005667930210216178,0.011169775596095456,0.003924583211879839,0.008988539420181152,99
global,0,so_8,0.00495936270483365,0.009192689622968736,0.003633761750251958,0.006884528775558327,99
global,0,so_9,0.0034990257941035913,0.005987436049664864,0.0022892726119607687,0.00490791664101334,99
global,0,so_10,0.002038979653570086,0.003247073127163781,0.000956774631049484,0.0033725035480327075,99
global,0,so_11,0.0016323677663964153,0.004086708428921422,0.0007481788325645593,0.004222718561350396,99
global,0,so_12,0.0012885918288087152,0.003555877319998061,0.0006009273613494999,0.00364261440405942,99
global,0,so_13,0.0007729897742404254,0.0008070928901857274,0.00022610653273530794,0.0011278695998374712,99
global,0,so_14,0.0006263396541606823,0.0002785836290003675,7.234171447855647e-05,0.0007602398588340917,99
global,0,so_15,0.0009797982144818613,0.00035754559535740153,0.00012344822361494998,0.001090447361359956,99
global,0,so_16,0.0015969504331793598,0.0008594542477195236,0.00027218922879929054,0.001912026231017227,99
global,0,so_17,0.004051663976332004,0.008903453639247503,0.0036358611183146938,0.005683395425986611,99
global,0,so_18,0.003777825792150741,0.009725005530535874,0.004425852971076213,0.004651125388765576,99
global,0,zos,0.006809747335736198,0.006809747335736198,0.006809747335736198,0.0,99
global,3,uo_0,0.11755922353929943,0.1357585975919107,0.11616711047562686,0.020983597545912773,99
global,3,uo_1,0.14318591657311025,0.1651368833551503,0.1418657179432686,0.024591364813121883,99
global,3,uo_2,0.16731417931691564,0.19310436766557018,0.16582809885342917,0.028762348127937078,99
global,3,uo_3,0.17818430893950993,0.2088035914030942,0.17604720788170594,0.034893485106000995,99
global,3,uo_4,0.16229638231523108,0.1929820766954711,0.15849449538221264,0.03828946990196151,99
global,3,uo_5,0.15365941386030177,0.18577127926277393,0.14911254231977944,0.04120560840825842,99
global,3,uo_6,0.17774563516029204,0.2134924487333105,0.1720839487482803,0.047070185757345624,99
global,3,uo_7,0.2504207558102078,0.298437485791216,0.24208879154739957,0.06468065289987458,99
global,3,uo_8,0.2780528998736179,0.3321562003005635,0.2682616709157674,0.07368575616015328,99
global,3,uo_9,0.27096271560047613,0.32568685484654974,0.2597022708317246,0.077245029235127,99
global,3,uo_10,0.25390416293433216,0.3121235662638539,0.24177724047742707,0.08247324839384869,99
global,3,uo_11,0.24003228605395616,0.3016504536975514,0.2253334287441138,0.09101588437051485,99
global,3,uo_12,0.22291550476743718,0.2922661942665023,0.20423962597293083,0.10670244889427917,99
global,3,uo_13,0.20664920635295636,0.28367112065204464,0.1810408439299073,0.12823863410287434,99
global,3,uo_14,0.2068170462593888,0.2954982558284143,0.1729519475590099,0.15641140772236717,99
global,3,uo_15,0.21195129282546765,0.3245864646001296,0.16420875286514108,0.20812025335099962,99
global,3,uo_16,0.21893077802778493,0.3582704816803788,0.15622984444854235,0.26474156885436084,99
global,3,uo_17,0.19129980001786742,0.3200020025474857,0.1260410173974856,0.2592197692755497,99
global,3,uo_18,0.14083858014959277,0.25980070052724896,0.0975721740361416,0.20549493380869277,99
global,3,vo_0,0.22579207670206974,0.24842068342247395,0.22493906710485015,0.024334626723871086,99
global,3,vo_1,0.2444300081091698,0.26838431499823173,0.24397212492697168,0.024870068944915377,99
global,3,vo_2,0.2720827835075783,0.2968813009334333,0.27194832701875704,0.025067429801430365,99
global,3,vo_3,0.29712945975438515,0.3261714589716208,0.2969125138990807,0.02947589179331606,99
global,3,vo_4,0.3027110349650335,0.3348247435959903,0.3017841878563467,0.03396740484267774,99
global,3,vo_5,0.30653898794241624,0.3430927600523438,0.30437891832505815,0.040873913263732735,99
global,3,vo_6,0.3189321578753115,0.35689466529422337,0.31422019968129167,0.047386419291448115,99
global,3,vo_7,0.33157013823287657,0.3684024666294907,0.3239228105304217,0.05212698161903054,99
