candidate,reader,workload,median_wall_seconds,median_process_cpu_seconds,byte_metrics_valid
A,zarr-python,aligned_720,0.24595275102183223,,False
A,zarr-python,halo_16_752,0.2782054138369858,,False
A,zarr-python,halo_32_784,0.3045904980972409,,False
A,zarr-python,union_1472,1.117573122959584,,False
A,zarr-python,misaligned_720,0.24704483500681818,,False
A,zarr-python,shallow_17_halo,0.09447546699084342,,False
A,zarr-python,point_series,0.006370035000145435,,False
A,zarr-python,pair_aligned,0.5261046709492803,,False
A,zarr-python,pair_offset,0.5173940581735224,,False
A,zarr-python,independent_four_752,1.0256657858844846,,False
A,zarrs,aligned_720,0.20736102107912302,0.3247301840000034,False
A,zarrs,halo_16_752,0.30144925508648157,0.4650528310000013,False
A,zarrs,halo_32_784,0.3232211119029671,0.48287400899999966,False
A,zarrs,union_1472,1.129530981881544,1.6041482519999946,False
A,zarrs,misaligned_720,0.2383959940634668,0.35494570099999834,False
A,zarrs,shallow_17_halo,0.09314468200318515,0.15253478700000045,False
A,zarrs,point_series,0.0035231190267950296,0.010307709000002774,False
A,zarrs,pair_aligned,0.500410539098084,0.6553336039999991,False
A,zarrs,pair_offset,0.49882615404203534,0.6438937770000024,False
A,zarrs,independent_four_752,1.0261985249817371,1.604772484999998,False
A,tensorstore,aligned_720,0.1884868429042399,0.35927204600000096,False
A,tensorstore,halo_16_752,0.21606809296645224,0.4215208910000001,False
A,tensorstore,halo_32_784,0.2316306889988482,0.45174938399999576,False
A,tensorstore,union_1472,0.7357721510343254,1.386053707000002,False
A,tensorstore,misaligned_720,0.19280666019767523,0.3597685780000006,False
A,tensorstore,shallow_17_halo,0.060542318038642406,0.1620840759999993,False
A,tensorstore,point_series,0.0011533780489116907,0.006750718999995797,False
A,tensorstore,pair_aligned,0.37484430195763707,0.7061719760000003,False
A,tensorstore,pair_offset,0.38533686310984194,0.7339830800000016,False
A,tensorstore,independent_four_752,0.7666961669456214,1.556818555999996,False
B,zarr-python,aligned_720,0.33557627396658063,,False
B,zarr-python,halo_16_752,0.3301028339192271,,False
B,zarr-python,halo_32_784,0.3540040450170636,,False
B,zarr-python,union_1472,1.1832018089480698,,False
B,zarr-python,misaligned_720,0.26952550117857754,,False
B,zarr-python,shallow_17_halo,0.10525956796482205,,False
B,zarr-python,point_series,0.0051537929102778435,,False
B,zarr-python,pair_aligned,0.5312079328577965,,False
B,zarr-python,pair_offset,0.5466754341032356,,False
B,zarr-python,independent_four_752,1.1759618460200727,,False
B,zarrs,aligned_720,0.21995663503184915,0.37601920499999864,False
B,zarrs,halo_16_752,0.35452413419261575,0.4855086080000035,False
B,zarrs,halo_32_784,0.39422750705853105,0.5258392539999974,False
B,zarrs,union_1472,1.2095562529284507,1.6261830270000033,False
B,zarrs,misaligned_720,0.2917029932141304,0.39539509000000095,False
B,zarrs,shallow_17_halo,0.10644812998361886,0.16274419900000225,False
B,zarrs,point_series,0.0016077850013971329,0.004788668999999857,False
B,zarrs,pair_aligned,0.5795577671378851,0.7478134420000018,False
B,zarrs,pair_offset,0.5853353522252291,0.7492090860000005,False
B,zarrs,independent_four_752,1.3872978661675006,1.865233791999998,False
B,tensorstore,aligned_720,0.20040828990750015,0.3861561499999979,False
B,tensorstore,halo_16_752,0.2023050501011312,0.38620942000000014,False
