candidate,reader,workload,trial,wall_seconds,process_cpu_seconds,byte_metrics_valid,observed_data_returned_bytes,observed_data_calls,observed_unique_data_objects
A,tensorstore,misaligned_720,0,0.19568732590414584,0.3597685780000006,False,,,
A,tensorstore,misaligned_720,1,0.19280666019767523,0.387851923999996,False,,,
A,tensorstore,misaligned_720,2,0.1901884749531746,0.3379509120000037,False,,,
A,tensorstore,shallow_17_halo,0,0.06529121100902557,0.13764651799999683,False,,,
A,tensorstore,shallow_17_halo,1,0.060542318038642406,0.1620840759999993,False,,,
A,tensorstore,shallow_17_halo,2,0.05964162899181247,0.16400998800000366,False,,,
A,tensorstore,point_series,0,0.0017903950065374374,0.0073911830000028544,False,,,
A,tensorstore,point_series,1,0.0011533780489116907,0.006750718999995797,False,,,
A,tensorstore,point_series,2,0.0010520098730921745,0.006130100999996557,False,,,
A,tensorstore,pair_aligned,0,0.37718678498640656,0.6987240280000009,False,,,
A,tensorstore,pair_aligned,1,0.3742044591344893,0.7061719760000003,False,,,
A,tensorstore,pair_aligned,2,0.37484430195763707,0.7367414970000041,False,,,
A,tensorstore,pair_offset,0,0.38533686310984194,0.7339830800000016,False,,,
A,tensorstore,pair_offset,1,0.3870513590518385,0.7736629649999998,False,,,
A,tensorstore,pair_offset,2,0.37261516600847244,0.7159174949999993,False,,,
A,tensorstore,independent_four_752,0,0.7617293449584395,1.556818555999996,False,,,
A,tensorstore,independent_four_752,1,0.7666961669456214,1.5485327399999989,False,,,
A,tensorstore,independent_four_752,2,0.7843508368823677,1.5753348720000062,False,,,
B,zarr-python,aligned_720,0,0.33557627396658063,,False,63008489,1,1
B,zarr-python,aligned_720,1,0.29932399513199925,,False,63008489,1,1
B,zarr-python,aligned_720,2,0.33839749288745224,,False,63008489,1,1
B,zarr-python,halo_16_752,0,0.34397915191948414,,False,63063817,9,9
B,zarr-python,halo_16_752,1,0.3301028339192271,,False,63063817,9,9
B,zarr-python,halo_16_752,2,0.3288632440380752,,False,63063817,9,9
B,zarr-python,halo_32_784,0,0.3760129411239177,,False,63063817,9,9
B,zarr-python,halo_32_784,1,0.3540040450170636,,False,63063817,9,9
B,zarr-python,halo_32_784,2,0.3506723849568516,,False,63063817,9,9
B,zarr-python,union_1472,0,1.1832018089480698,,False,195791646,16,16
B,zarr-python,union_1472,1,1.1715774089097977,,False,195791646,16,16
B,zarr-python,union_1472,2,1.2751253030728549,,False,195791646,16,16
B,zarr-python,misaligned_720,0,0.29600114515051246,,False,27664,4,4
B,zarr-python,misaligned_720,1,0.2688358388841152,,False,27664,4,4
B,zarr-python,misaligned_720,2,0.26952550117857754,,False,27664,4,4
B,zarr-python,shallow_17_halo,0,0.10495271510444582,,False,62244,9,9
B,zarr-python,shallow_17_halo,1,0.10525956796482205,,False,62244,9,9
B,zarr-python,shallow_17_halo,2,0.10808695899322629,,False,62244,9,9
B,zarr-python,point_series,0,0.007504840148612857,,False,55328,8,8
B,zarr-python,point_series,1,0.0051537929102778435,,False,55328,8,8
B,zarr-python,point_series,2,0.005135904997587204,,False,55328,8,8
B,zarr-python,pair_aligned,0,0.5578633449040353,,False,125998232,2,2
B,zarr-python,pair_aligned,1,0.5312079328577965,,False,125998232,2,2
B,zarr-python,pair_aligned,2,0.5311925010755658,,False,125998232,2,2
B,zarr-python,pair_offset,0,0.5548346859868616,,False,125937091,2,2
B,zarr-python,pair_offset,1,0.5466754341032356,,False,125937091,2,2
B,zarr-python,pair_offset,2,0.5320501560345292,,False,125937091,2,2
