run,mode,region,lead_days,variable,normalized_mse,physical_mse,prediction_second_moment,target_second_moment,normalized_rmse,physical_rmse,prediction_rms,target_rms,rms_ratio
A,inferred,extratropics,0,so,0.005685624162695414,0.015008138818599382,1203.814074064556,1203.8131713542705,0.07540307793913598,0.12250770922109099,34.69602389416626,34.69601088532038,1.0000003749377968
A,inferred,extratropics,0,sst,0.0,0.0,264.66212894940617,264.66212894940617,0.0,0.0,16.268439659334454,16.268439659334454,1.0
A,inferred,extratropics,0,thetao,0.005593699871936835,0.1369532303158891,90.71163777393255,91.88061453580991,0.07479104138823603,0.3700719258683224,9.524265734109509,9.585437628810169,0.9936182470671134
A,inferred,extratropics,0,ts,0.005639662017316124,,,,0.07509768316876443,,,,
A,inferred,extratropics,0,uo,0.193642218060027,0.0003998474750352998,0.0033204573041503383,0.0036498695552275684,0.44004797245303495,0.019996186512315287,0.05762340934160646,0.06041415028970919,0.9538065017099463
A,inferred,extratropics,0,vo,0.18868423583246427,0.00021630236701169895,0.0029452547353141585,0.0030889873151848375,0.4343779872788955,0.014707221593887099,0.054270201172597086,0.05557865881059777,0.9764575528448847
A,inferred,extratropics,0,zos,0.0,0.0,0.48620438304814423,0.48620438304814423,0.0,0.0,0.697283574342709,0.697283574342709,1.0
A,inferred,extratropics,5,so,0.005784588258793645,0.014973771035661403,1203.8173856030494,1203.8158635205882,0.07605648071527925,0.1223673609900181,34.69607161629468,34.69604968178061,1.000000632190531
A,inferred,extratropics,5,sst,0.0006826504899748141,0.0924463303326958,263.5707787407769,264.80069678720804,0.026127581020347332,0.304049881323272,16.23486306504545,16.272697895161947,0.9976749503763757
A,inferred,extratropics,5,thetao,0.005615839226107695,0.13638858087765238,90.73488529580077,91.89021460419285,0.07493890328866373,0.3693082464251948,9.525486092362991,9.585938378906514,0.9936936495777455
A,inferred,extratropics,5,ts,0.0057002137424506695,,,,0.07549975988339744,,,,
A,inferred,extratropics,5,uo,0.19120631215857226,0.0004374780786271441,0.0032942047881751478,0.0036474312009881155,0.4372714399072643,0.02091597663574771,0.057395163456297846,0.06039396659425605,0.9503459814437256
A,inferred,extratropics,5,vo,0.2017065345733993,0.0002831256635645526,0.00289616298711156,0.003091959232748583,0.449117506420535,0.016826338388507247,0.05381601050906282,0.05560538852259359,0.9678200609496018
A,inferred,extratropics,5,zos,0.001373402519748884,0.0006366497081482838,0.4854804352678434,0.4863526396679156,0.03705944575609414,0.025231918439712106,0.6967642609002297,0.6973898763732634,0.9991029186195142
A,inferred,extratropics,10,so,0.005829435906505113,0.015046372391267332,1203.8067737277172,1203.8172161582934,0.07635074267160152,0.1226636555433896,34.695918689778445,34.69606917445106,0.9999956627745967
A,inferred,extratropics,10,sst,0.0010305534909488233,0.13956027252204486,263.39396821609654,264.84413516882694,0.032102234983702044,0.373577665983989,16.22941675526562,16.274032541715865,0.9972584676639992
A,inferred,extratropics,10,thetao,0.005703328760814001,0.14061007034197506,90.73077258116467,91.89780742649144,0.0755203863921127,0.37498009326092907,9.525270210401628,9.58633441032032,0.993630078265061
A,inferred,extratropics,10,ts,0.005766382333659556,,,,0.07593669951781916,,,,
A,inferred,extratropics,10,uo,0.19895566400221718,0.00047098855127109576,0.003304151511007114,0.003650042322148721,0.4460444641537626,0.021702270647816917,0.05748174937323249,0.060415580127552534,0.951439169364492
A,inferred,extratropics,10,vo,0.2340884450060582,0.0003742550521576386,0.002875402645914956,0.0030950805369513337,0.48382687503492217,0.019345672698503884,0.053622781034882515,0.05563344800523633,0.9638586669989506
A,inferred,extratropics,10,zos,0.0017135092645243384,0.0007943084029565019,0.48585235440369806,0.4864606968682222,0.04139455597689554,0.02818347748161149,0.697031100026174,0.697467344660825,0.9993745303805396
A,inferred,extratropics,15,so,0.005930836981133662,0.01526794516058003,1203.796832492794,1203.8167773930713,0.07701192752511563,0.1235635268215505,34.6957754271726,34.696062851468774,0.9999917159391426
A,inferred,extratropics,15,sst,0.0014044575791833677,0.19019535003286417,263.1235863271386,264.9074671581538,0.03747609343546053,0.4361139186415221,16.22108462240237,16.275978224308172,0.9966273239525585
A,inferred,extratropics,15,thetao,0.005845054002793813,0.14704705015791464,90.72374472667607,91.90559417755247,0.07645295287164396,0.38346714351807853,9.524901297476845,9.586740539805616,0.99354950287097
A,inferred,extratropics,15,ts,0.005887945491963737,,,,0.07673294919370516,,,,
A,inferred,extratropics,15,uo,0.21127563249765396,0.0005150747199259209,0.0033228145933486496,0.003641342693249186,0.4596472914068503,0.022695257652776732,0.05764385997960797,0.06034353895198048,0.9552615073749514
A,inferred,extratropics,15,vo,0.26828677072162516,0.00046321025494419345,0.002855461242085767,0.003082921659519059,0.5179640631565332,0.02152231992477097,0.053436515998760314,0.055524063787866416,0.9624028277706451
A,inferred,extratropics,15,zos,0.0021415159089791273,0.0009927136783553475,0.48481768881431736,0.48554731107721427,0.046276515739402065,0.03150735911426642,0.6962885097531895,0.6968122495171954,0.9992483775014448
A,inferred,extratropics,20,so,0.006020784941128051,0.01550925944698223,1203.782275040184,1203.815321375245,0.07759371714983147,0.12453617726179902,34.695565639432715,34.69604186899775,0.9999862742393834
A,inferred,extratropics,20,sst,0.0017158778835877748,0.2323687084094442,262.92203436957465,264.7955252907493,0.041423156369207,0.48204637578706494,16.21487077868876,16.272538993370066,0.9964561022281279
A,inferred,extratropics,20,thetao,0.00599601733537206,0.15383544308868366,90.7121629124271,91.90216510698583,0.07743395466700677,0.39221861644838285,9.524293302519988,9.5865616936932,0.9935046168623546
A,inferred,extratropics,20,ts,0.0060084011382500555,,,,0.07751387706888396,,,,
A,inferred,extratropics,20,uo,0.2264908485229442,0.0005708234740639828,0.0033402695455319624,0.0036474580241133764,0.4759105467658226,0.023891912314923283,0.05779506506209645,0.06039418866176924,0.9569640116497155
